typeOfEntity	authorizedFormOfName	datesOfExistence	history	blank
Person	Romaniuk, Eugine William			
Person	Rootes, Margaret			
Person	Rose, Edwin			
Person	Ross, Donald Murray	1914 - 1986	Donald M. Ross came from Cambridge Unviersity to join the University as a professor and head of the Department of Zoology. In 1964 he was named Dean of Science, a position he held until 1976. He retired as Professor Emeritus in 1979. A marine biologist, his research focused on the biological behavior of marine animals and colour changes in fish. He was instrumental in the establishment of Bamfield Marine Research Station on Vancouver Island in 1970. His films of marine animal behavior have been shown at universities throughout the world.	
Person	Ross, George H.			
Person	Ross, Ruth			
Person	Rothrock, George A.			
Person	Rothwell, T.J.			
Family	Rowan, family			
Person	Rowan, Reta Guenever Mary	[1895] - 7.28.1983	Reta Guenever Mary Bush, daughter of A.R. Bush, was living in the family home in Morden, Surrey, England, at the time of her marriage to scientist William Rowan, in September 1919. That year they emigrated to Canada where her husband lectured in zoology at the Univeristy of Manitoba for one year, before moving farther west to found and become Head of the Department of Zoology at the University of Alberta. In Edmonton Reta Rowan raised her family of two sons and three daughters and participated in numerous University and community activities for more thatn fifty years. In 1977 she moved to Willowdale, Ontario. Mrs. Rowan died in Toronto on Juen 28, 1983.     Mrs. Rowan's interests were varied, ranging from involvement with cultural groups such as the Folk Festival Committee and the Allied Arts Council, to association with the Alberta Adult Education Society and with the Women's International League for Peace and Freedom. It was, however, her work with minority groups at the civic and provincial level that claimed most of her time between 1942 and 1967. She organized the female representatives of nineteen ethnic groups in the city into the Council for Canadian Unity, which she chaired from 1942-1950. When the Council's Committee of the Friends of Indians was formed in 1944 she acccepted the duties of corresponding secretary. Although she resigned this executive position in 1960, she remained a member until 1967 when the Society, acting on a motion from Mrs. Rowan, disbanded and transferred its support to the Indian-Eskimo Association and the Canadian Native Friendship Centre. Through the Friends of the Indians Society she came in contact with the Indian Association of Alberta whose progress she followed as an observer or delegate until 1957 when she was appointed to its advisory board.	
Person	Rowan, Stephen			
Person	Rowan, William	1891 - 07-29 - 6.30.1957		
Corporate body	Royal Alberta Museum			
Corporate body	Royal Astronomical Society			
Corporate body	Royal Canadian Air Force			
Person	Royce, Joseph Russell	1921 - 1989	Joseph Royce joined the University in 1960 as professor first head of the Department of Psychology. In 1967 he founded the Centre for Advanced Study in Theoretical Psychology, an interdisciplinary research institute which was the first of its kind in the world. He retired from the Centre in 1978 and from the University as Professor Emeritus in 1986. Dr. Royce published widely in numerous fields, including behavioral genetics, individuality and personality, and philosophical psychology.	
Person	Royce, Lee			
Person	Rudnytsky, Alexandra			
Person	Rudnytsky, Ivan	1919 - 1984		
Person	Russel, J. C.			
Person	Russel, Lindsay			
Person	Russell, C.H.			
Person	Russell, Lindsay		Deputy Minister of the Department of the Interior.	
Person	Russell, P.			
Person	Russell, W. E.			
Corporate body	Rutherford Library			
Person	Rutherford, Alexander Cameron	1857- 02-02 - 7.12.1941	Alexander Cameron Rutherford was born in Osgoode, Carleton County, Ontario, on February 2, 1857. His parents emigrated to Canada from Aberfeldy, Scotland in 1855. Educated in Ontario's public schools, and Woodstock College, he taught school for a year and then attended McGill University in Montreal where he graduated with a B.A. and B.C.L. in 1881. He articled with Sir Ricarhd Scott in Ottawa, was admitted to the Bar of Ontario in 1885 and immediately went into the partnership of Hodgins, Kidd and Rutherford with offices in Ottawa and Kempville.     In 1888 he married M. Birkett and two children, Cecil, and Hazel, were born to them. He came west to Strathcona, Northwest Territories, and was elected to the North West Territories Assembly serving from 1902-1905. During this period he was Deputy Speaker. In 1905, he was called to lead the first government of Alberta. Dr. Rutherford also held the portfolios of Provincial Treaseuer and Minister of Education. He introduced, in 1906, a bill which founded the University of Ablerta. In recognition of his efforts to establish higher education in the new prairie province, the Univerwsity of Toronto awarded him an LL.D. in 1907.     Although Dr. Rutherford resigned as Premier in 1910, he continued to take an interest in the Univesrity. He was elected its Chancellor in 1927 and continued in that position until his death on June 12, 1941.	
Person	Rutherford, Dr.			
Person	Rutkowski, Alan			
Person	Ruttan, Henry			
Person	Ryan, A. A.		Executive Assistant to the President.	
Person	Ryan, J. T.			
Person	Sackville, John Percy			
Person	Salt, George			
Person	Salt, Walter Raymond	1905 -	An alumnus of the University , W. Ray Salt began lecturing as an assistant professor of anatomy in 1949. He gained his full professorship in 1958 and retired as Professor Emeritus in 1971. Besided being an anatomist, he is an ornithologist who has written popular guidebooks on Alberta birds.	
Person	Salter, Francis Millet			
Person	Salter, Frederick Millet			
Person	Samis, F.W.			
Person	Sampson, William			
Person	Samson, E.			
Person	Samson, Elizabeth C. Samson			
Person	Samuel, George			
Person	San Giovanni Di Routi			
Person	Sanders, G.A. and H.P.			
Person	Sanders, Gordon Albert	1917 -	A graduate of the Camrose Normal School (1937), Gordon Sanders taught in schools and colleges in Edmonton and other Alberta Communities, including the Northern Alberta Institute of Technology (NAIT) and the Provincial Institute of Technology and Art, and was employed with the Departments of Educational and Labor in Alberta. Director of the Edmonton Public Schools District for ten years, he was chair of the Alumni Career/ Life Profiles Project for the Camrose Normal School reunion.	
Person	Sanders, Helen Peirce			
Person	Sanderson, J.A.G.			
Person	Sandin, Reuben Benjamin	1897 - 1991	"A University of Alberta alumnus, Reuben ""Bob"" Sandin was hired by his alma mater in 1922 as a lecturer in Chemistry. He gained his full professorship in 1943 and retired as Professor Emeritus in 1965. As a biochemist he contributed to the synthesis of chemical agents for cancer treatment, but it was as a teacher that he gained the most recognition, receiving chemical education awards from the Chemical Institute of Canada and the Manufacturing Chemists Association."	
Person	Sands, David			
Person	Sanford, Guthrie B.			
Person	Sapir, E.			
Corporate body	Saskatchewan and Manitoba Archives			
Corporate body	Saskatchewan Archives			
Person	Savaryn, Peter			
Person	Scambler, Thelma			
Person	Scarfe, Brian L.			
Person	Scarlett, Earle Parkhill			
Person	Schaarschmidt, Gunter			
Person	Schaefer, Lothar			
Person	Schaefer, Otto		A doctor serving in Northern Canada	
Person	Schalkwijk-Barendsen, Helene M.E.	1921 -	Artist, teacher, researcher -- Helene M.E. Schalkwijk-Barendsen was born in the Netherlands in 1921 and holds the degree of Ingenieur (comparable to M.Sc.) in Horticulture, from Wageningen University. She has been married to J.A. Schalkwijk and has lived in Canada since 1949. They have four children. A painter and enthusiastic mushcroom hunter since 1968, Mrs. Schalkwijk-Barendsen taught courses in field identification at John Janzen Nature Centre in Edmonton for ten years. Some of her exhibitions of paintings have been hung in teh Provincial Museum of Alberta in Edmonton, the Glenbow Museum in Calgary, teh Edmonton Art Gallery and the Canadian Museum of Nature in Ottawa. She has also been an member of the Edmonton Mycological club since its inception in 1987.	
Person	Schloss, Eric	1938 -	Dr. Eric Schloss was born in Edmonton in ca. 1938, and grew up in Camrose. He graduated from the University of Alberta with a BA in 1959 and a MD in 1963 before completing a two-year family practice internship at several prominent hospitals in Canada, the United States and Bermuda. Dr. Schloss continued his education with a four-year residency at University of Alberta Hospital, received a F.R.C.P. (C) in General Pathology in 1969. Dr. Schloss practiced Pathology and Laboratory Medicine at Dr. S. Hanson and associates in Edmonton and as Chairman of the Department of Laboratory Medicine at Edmonton General Hospital. Dr. Schloss married Elects Conn of Medicine Hat, Alberta. The Schlosses have two children, Robin and J.J. In 1975, Dr. Schloss decided to pursue his interest in Dermatopathology at New York University and the Armed Forces Institute of Pathology in Washington, D.C. Since 1978, he has practiced Dermatology and Dermatopathology in Edmonton. He has served as head of the Division of Dermatology and is a Clinical Professor of Pathology and Dermatology in the Faculty of Medicine at the University of Alberta. Along with his professional accomplishments, Dr. Schloss has been actively involved in numerous Jewish organizations, and has served as chairman or president for many organizations including the United Jewish Appeal, the Canadian Israel Committee of Edmonton, the Beth Israel Synagogue and the Edmonton Jewish National Fund. An avid book collector, in 1989 and 1992 Dr. Schloss donated over 12 000 monographs from his personal collection to the University of Alberta. Dr. Schloss and his wife Elexis Schloss were the honourees of the 1995 Negev Dinner.	
Person	Schlosser, John			
Person	Schmidt, Wilfred H. O.			
Family	Schoctor Family			
Person	Schoeck, Ellen A.			
Corporate body	School of Architecture			
Corporate body	School of Commerce	1928 - 1960	Beginning as the Department of Accountancy (1914) and later as the School of Commerce (1928) in the Faculty of Arts and Science, the Faculty of Business gained faculty status in 1960 as the Faculty of Commerce (later Business Administration and Commerce) before acquiring it's current name in 1982. It's purpose is to provide teaching, research, and scholarship in addition to academic and professional services related to commerce and business administration. Comprising the Faculty are the following departments: Accounting, Finance and Management Science, Marketing and Economic Analysis, Organizational Analysis. The Management Advisory Institute is sponsored by the Faculty.	
Corporate body	School of Household Economics		As Household Economics, this discipline was attached to the Faculty of Arts and Science as a department (1918-1927) and a School (1928-1963) before briefly becoming a School in the Faculty of Science (1963-1966). It became an independent School in 1966 and was renamed the Faculty of Home Economics in 1976. Home Economics studies the physical environment and social nature of people and, thourgh its concern for imporing people's dialy lives, examines consumer patterns and family dynamics, among other topics. Offering bachelor and master of science programs, the Faculty comprises three departments (dvisions unitl 1981): Clothing and Textiles, Family Studies, and Foods and Nutrition.	
Corporate body	School of Library Science	1966 - 1975	The establishment of the School of Library Science was approved in 1966, and the following year the first director was appointed and the Council formed. Classes began in 1968, and the first Bachelor of Library Science degrees were awarded a year later. The Master's program was initiated in 1971. The School became the Faculty of Library Science in 1975. A two-year Master of Library Science program was approved in 1976, and the last Bachelor's degrees were awarded in that year. Teh Faculty was renamed the GFaculty of Library and Information St5udies in 1988. It was re-established as a School within the Faculty of Education in 1991, and the Dean received the title of Director.	
Corporate body	School of Native Studies			
Corporate body	School of Nursing			
Person	School of Nursing Council			
Corporate body	School of Public Health	1967 -	The Division of Health Services Administration was established in the Faculty of Medicine with W.K. Kellogg funding in 1967. It eventually morphed into the current School of Public Health.	
Corporate body	School of Rehabilitation Medicine		The Faculty began in 1954 as a diploma program in physical therapy through the Faculty of Medicine. The School of Physical and Occupational Therapy was established in 1960, and was named the Faculty of Rehabilitation Medicine in 1976. The Faculty offers bachelor and master of science programs in Physical Therapy and Occupational Therapy and a master of science program in Speech Pathology and Audiology.	
Corporate body	School of Social Work (proposed)			
Corporate body	Schooll of Rehabilitation Medicine			
Person	Schouls, Peter			
Person	Schowalter, Tim			
Person	Schultz, John David			
Person	Schultz, Nis			
Person	Schurman, Donald			
Person	Schwarzkopf, Tom	[ 19-- ] -	Mr. Schwarzkopf was a Media Centre Manager for Universaide '83, the world student games held in Edmonton	
Person	Schwerdt, Peter	[ 19-- ] -	In 1928 Peter Schwerdt moved from Ida, Ontario with his parents and brother Chuck to homestead in the Peace River country near Worsley, Alberta. These ten letters to Lillian B. Hootner and her mother describe the hardship experienced by settlers during the Great Depression.	
Person	Schwob, Betty			
Person	Schwob, Elizabeth Wilson			
Corporate body	Science Association	1919 - 1962	An association founded by members of the scientific departments at the University of Alberta, its mandate included the provision of a forum to exchange scientific ideas on campus and a lobby to petition the various levels of government to facilitate scientific research. Its predecessor was the Mathematical club, founded in 1913.	
Person	Scorah, Shane			
Person	Scott			
Person	Scott, Donald Burton	[ 1913 ] - 1975	Dr. Scott came to the University of Alberta in 1940, after receiving a PhD in physics from Mc Gill. He became a full professor in 1954 and head of the Physicist Department in 1959. As a member of the President's Committee on Electronic Equipment, he helped bring the first computer to the University in 1957. He was the Director of the Computing Centre from 1961 to 1971. He was a founder and first Chair of the Academic Welfare Committee and President of the Assocaition of Academic Staff of the University of Alberta (AASUA) from 1961 to 1962. He was appointed as the first full-time Ombudsman of the University in 1971, a position he held until his death.	
Person	Scott, Stuart M.			
Corporate body	Scrambled Feet			
Person	Scrivener, Daphne			
Person	Scully, Joyce Edwards			
Person	Sebatier, Leila			
Corporate body	Second Century Week Music Competition (1967: University of Alberta)	1967 -	Second Century Week was a national academic, cultural and athletic program to the Canadian centenary for the students of Canada's universities, colleges and technical institutes, hosted jointly by the University of Alberta, the University of Calgary and the Banff School of Fine Arts, March 6-11, 1967. The program included a music competition organized by Violet Archer; the winning piece was performed at a concert that was the climax of a weeklong series of performances of Canadian and contemporary music.	
Corporate body	Secretary, Department of the Interior			
Person	Sedivy, Marie			
Person	Seger, John E.			
Person	Seligman, Lawrie			
Person	Sellhorn, Ruth Sheldon			
Corporate body	Senate Committee on Student Affairs			
Corporate body	Senate of Canada			
Corporate body	Senate Task Force			
Corporate body	Seven Arrows Theatre			
Person	Shakespeare, William			
Person	Shandro, Betty			
Person	Shandro, Dr.			
Person	Shandro, William A.			
Person	Shaner, Dr. R. F.			
Person	Shaner, Mrs. R.F.			
Person	Shaner, Ralph Faust	1893 - 1976	Ralph Faust Shaner joined the University in 1921 as an assistant professor of anatomy. Made a full professor in 1927, he was head of the Department of Anatomy from 1936 until his retirement in 1959. He continued to teach after his retirement, however, and in 1971 the University awarded him an honorary degree and the Alumni Golden Jubilee Award. He taught courses in histology, embryology and neuroanatomy, and was considered an authority on the embryonic development of the heart and mechanisms underlying congenital heart defects.	
Person	Shanks, Thomas		Assistant Director General of Surveys	
Person	Shannan and the Monkeys			
Person	Shantz, Mrs.			
Person	Sharp, W. David			
Corporate body	Shastri Indo-Canadian Institute			
Corporate body	Shastri Indo-Canadian Institute. University of Alberta Chapter	1977 -	The Shastri Indo-Canadian Institute, established in 1968, seeks to build academic and cultural links between India and Canada, to foster mutual understanding, and to promote Canadian studies in India. To this end it supports fellowships in India andCanada, a Visiting Scholar Program, workshops, seminars and conferences, a library development program, and cultural and academic exchanges.  The Institute is suported by the governments of Canada and India. Chapters have been established at 14 Canadain universities. THe Board of Directors includes the High Commissioner for India and a representative from the Natinal Library of Canada.	
Person	Shaw, J. A.			
Person	Shaw, Marilyn Pilkington			
Person	Shaw, Robert McLeod	1881 - 1974	Robert M.Shaw came to the University in 1921 with dual responsibilities as assistant professor of Bacteriology for the Department of Bacteriology and Hygiene and assistant bacteriologist for the Provincial Laboratory of Public Health. In 1945 he was appointed head of his department and Director of the Provincial Laboratory. He held these positions until 1949, retiring in 1950 with the title of Professor Emeritus of Bacteriology.	
Person	Shearer, David A.			
Person	Shedden, E.R.			
Person	Sheehy, Ansbert			
Person	Sheehy, Memorian			
Person	Sheild, Beatrice			
Person	Sheldon, Ernest Wilson			
Person	Sheldon, Helen	1884 - 1983	Born in New York State, Helen (McHugh) Sheldon was the wife of Ernst W. Sheldon, first professor and head of the Department of Mathematics at the University of Alberta. Mrs. Sheldon was the first Advisor to Women Students, 1911-1912, and was a charter member of the Faculty Women's Club. Her memoirs provide a source of information on early University history and daily life behind the academic scene.	
Person	Sheppard, Mary Clark	1927 -	Mrs. Sheppard, daughter of Karl A. Clark, oil sands pioneer, is the author of Oil Sands Scientist: the letters of Karl A. Clark, 1920-1949 (University of Alberta Press, 1989)	
Person	Sheppard, Mary Smithson			
Person	Sherlock, Marjorie			
Person	Sherman, Yvonne			
Person	Shibuya, Ellen			
Person	Shield, Beatrice			
Person	Shipley, G.R.			
Person	Shippam, M.			
Person	Shnitka, Theodor K.			
Person	Shoemaker, James Sheldon			
Person	Shortt, Adam			
Person	Shtokalko, Zinovii			
Person	Siemens, H.			
Person	Silverman, Robert			
Person	Silzer, Brian J.			
Person	Simmons, W.			
Person	Simpson, James E.			
Person	Simpson, Maimie S.			
Person	Simpson, Mrs. James E.			
Family	Sinclair Family			
Person	Sinclair, J. W.			
Person	Sinclair, Robert David			
Person	Sinclair, S.R.			
Person	Sitwell, Francis George			
Person	Sitwell, O. F. G.			
Person	Skarin, Emil Richard Ture	1882 - 1970	After emigrating from Sweden in 1902, working at any available construction jobs, and starting his own construction company on partnership, Emil Skarin completed his university education by attending classes in his free time. He graduated in 1918 with a BSc in civil engineering. Mr. Skarin also served as the Swedish Vice Consul (1920 - 1945) and Consul (1945-1950).	
Person	Skeffington, Jacquelyn			
Person	Skoropad, William Peter			
Person	Slatter, Frans F.			
Corporate body	Slavonic Languages			
Person	Slizer, Brian J.			
Person	Small, Alastair			
Person	smith, alexander			
Person	Smith, Alexander			
Person	Smith, Donald B.			
Person	Smith, Douglas Elstow	1912 -	Douglas E. Smith began lecturing in psychology at the University in 1937. He left (1941-1946) to serve in the Canadian Army as personnel officer. Appointed full professorship in 1949, he chaired the Department of Philosophy and Psychology between 1952 to 1972, retiring as Professor Emeritus in 1975.	
Person	Smith, George Malcolm			
Person	Smith, Graham			
Person	Smith, H.H.	1846-12-17 - 11.3.1929	Practiced law in Peterborough, Ontario and was active in the Conservative Party. In 1884 Sir J. A. MacDonald appointed him Commissioner of Dominion Lands for Manitoba and the North-West Territories.	
Person	Smith, Herbert Edgar	1890 - 1969	After a varied teaching career in Saskatchewan and Alberta, Herbert E. Smith was appointed assistant professorship of Philosophy at the University in 1929. Following a wartime leave of absence, he served as Director of Summer Session (1945-1949). In 1949 he was granted a full professorship, and from 1950 until his retirement in 1955 he was Dean of the Faculty of Education. He also taught a special lecturer in Psychology from 1935 to 1950. Under his deanship, the education faculty expanded its teaching program to become a centre for graduate study and research	
Person	Smith, John McGregor			
Person	Smith, Macgregor John			
Person	Smith, Nora			
Person	Smith, Richard			
Person	Smith, Roger S.			
Person	Smith, Scott			
Person	Smith, Sean Nikolai			
Person	Snell, Bernard			
Person	Snider, Earle			
Person	Snider, Earle L.			
Corporate body	Social Work (proposed)			
Corporate body	Society for the Retired and Semi-Retired			
Person	Somerville, A.			
Person	Sonet, Edouard	1880 - 1971	Edouard Sonet first taught at the University in 1911 as an instructor in French. After his leave to return to France for military duty, 1914-1919, he returned to the campus in1920, becoming full professor in 1936. From that year until 1947 he served as head of the Department of Modern Languages. He left the University to lecture at the University of California at Berkely (1947-1848) and Royal Roads, Esquimault (1948-1953). The University of Alberta named him Professor Emeritus in 1951 and honorary LLD in 1960. Dr. Sonet was known for his strict teaching methods; his book Volataire et l'infulence anglaise (1936) was considered the authority on the subject for many years.	
Person	Sonet, Jean			
Person	Soper, J. Dewey	1893-05-05 - 10.2.1982		
Person	Spafford, Richard			
Corporate body	Special Collections			
Corporate body	Special Funds and Research Accounting Division	1967 -	The Special Funds and Research Accounting Division is responsible for most aspects relating to the financial administration for all trust moneys received by the University. Known initially as Special Funds Division, it received its current name in 1989. The roots of this unit can be traced to 1961, when an Assistant Accountant was appointed, one of the duties being to oversee trust accounts.	
Corporate body	Special Sessions	1919 -	Special Sessions organizes and administers the instructional delivery of programs of other academic units. It provides extra-sessional credit courses through Spring Session, Summer Session and the Off-Campus Credit Program, at both undergraduate and graduate levels, to full-time students, and in cooperative programs, such as those with the Department of Adult, Career and Technology Education, faculte St-Jean, and Athabasca University's Sunrise Project.  in 1919 the University, through the Special Sessions Office, became involved in teacher education, conducting a modest-sized summer program in cooperation with the provincial Department of Education (the latter had been using classrooms on the University Campus since 1913, to hold classes during the summer months for teachers who wished to upgrade their education).  In 1950 the first evening credit courses were offered through the University. Classes were held at three locations: on the Edmonton campus, in Calgary and in Lethbridge. A University Senate committee on evening courses was formed; its terms of reference included responsibility both for credit courses, offered by Special Sessions, and noncredit courses offered by the Department of Extension. The Evening Credit Division Program was administered by the Department of Extension until 1955-1956, when J.W. Gilles, Director of Summer Session, was appointed its coordinator, and a new committee for the program was established whose terms of reference included only those matters dealing with credit courses.  When a University of Alberta campus was established in Calgary, it was made responsible for administration of the Evening Credit Program in the southern part of the province. in 1965 the Summer Session and Evening Program committees were amalgamated on a recommendation of the general Facilities Council.  The operations of Special Sessions were consolidated in the early seventies and a new program, Spring Session, was implemented, modelled after the Summer Session Program. The first classes were held in May-June 1972. Integration of late afternoon and evening credit courses held on campus into the general operations of the University was approved in 1970. Courses became the responsibility of the school/faculty concerned. Off-campus credit courses remained extra-sessional, and continued to be administered by the Office of Special Sessions un until 1977, when responsibility for the program was divided between the Office of the Registrar (student recruitment, community contacts, handling local problems with courses, and establishing cooperation with other institutions), and the Special Sessions Office (courses, instructors, dealing with faculties and departments).  in 1983 special Sessions became part of the Faculty of Extension (PAACR,1987).	
Corporate body	Specialized Support and Disability Services			
Person	Specth, Wayne			
Corporate body	Speech Pathology and Audiology			
Person	Spence, Don			
Person	Spencer, Mary E.			
Person	Sperber, Geoffrey			
Person	Spilsted, Ridhard N.			
Person	Splinter, Gerhardt			
Person	Splinter, Steve			
Person	Spry, D.W.			
Corporate body	St. Joseph's College	1926 -	St. Joseph's College is established under the authority of the Roman Catholic Church. It received affiliation in 1926 and opened its residence on campus in 1927. From 1927 to 1963 it was directed by the Christian Brothers (Brothers of the Christian Schools-FSC); since 1963 the Basilian Fathers (Congregation of St. Basil- CSB) have been its directors.	
Corporate body	St. Michael Resurrection Players			
Corporate body	St. Regis (Alberta) Ltd.	1951 -	St. Regis (Alberta) Ltd. began as North Western Pulp and Power Ltd., a subsidiary of the St. Regis Paper Company of New York, inCorporate bodyd in 1951. It became St. Regis (ALberta)Inc. in 1978 and since then has had two more Corporate body changes: to Champion Forest Products (Alberta) Ltd. when it was bought by Champion International in 1985, and to Weldwood of Canada, Hinton Division, in 1988. This Hinton based firm manufactures wood pulp and other forest products.	
Corporate body	St. Stephen's College		"St. Stephen's began as the theological department of Alberta College in 1909. In 1910 Alberta College (South) accepted a University of Alberta offer of a free site for a building on the campus of the new university. The original building was known until the formation of the United Church of Canada in 1925 as ""Alberta College South,"" the theological college of teh Methodist Church in Alberta.      With church union in 1925 Alberta College South merged with Robertson College, the Presbyterian seminary in Edmonton, the premises used being those of the former Methodist institution. At first called ""United Theological College,"" in the spring of 1927 the two college boards became one under the new name ""St. Stephen's College,"" inCorporate bodyd by the provincial legislature April 2, 1927. Until the death of the Rev. Dr. J.M. Millar, former principal of Robertson College, Dr. A. S. Tuttle of Alberta College South and Dr. Millar were Joint-Principals.     Until 1925 the College provided high school matriculation subjects as well as theological courses, and also a men's residence for students. Since 1925 the College has provided theological courses only."	
Corporate body	Stage Polaris			
Person	Stambaugh, Sara			
Person	Stanford, Lois			
Person	Stangeland, R.A.			
Person	Stanley, G.F.G.			
Person	Stansfield, Edgar			
Person	Staples, Ray Ellis			
Person	Starchuk, Orest			
Person	Starnes, Cortlandt	March 31, 1864 - 5.28.1934	Commissioner Cortlandt Starnes was born in Montreal, Quebec on March 31, 1864 and was educated at Plateau Academy, a commercial institution in the same city. By the mid-1880s he held a position in a customs brokers company. His real love however was soldiering. He attended Infantry School in St. Jean, Quebec and in 1884 was awarded a 1st class certificate. In 1885, when the Rebellion broke out, Starnes accompanied the 65th Mount Royal Rifles Regiment westward as an Adjutant. When the conflict was over, Starnes was awarded the North-West Rebellion Medal and Bar and was appointed Inspector of the North-West Mounted Police.     Starnes' career in the Force was long and varied, serving on the prairies, in the Yukon, Quebec, Manitoba and Ottawa. On April 1, 1923, he became the 7th Commissioner of the Force, the first of French Canadian ancestry. His period as head of the Force was one of expansion of duties, particularly with respect to enforcement of federal statutes, increased mechanization with radio, telephone and the motor car, as well as growing technical services in ballistics, forensic science, photography and fingerprinting. Two noteworthy accomplishments carried out by Starnes were the resumption of provincial police responsibilities in Saskatchewan in 1928 and the creation of the Anti-Narcotic and Drug Distribution Branch in the Force.     Starnes retired on August 1, 1931 having served over forty-five years. He died at St. Hilaire, Quebec on May 28, 1934 and is buried in Cote des Neiges Cemetery, Montreal.	
Person	State, J.E.			
Person	Stayura, Lois Ann			
Person	Stead, Robert J.C.			
Person	Steadman, Harry			
Person	Steed, Margaret E.	[ 19-- ] -	After serving as Advisor to the Schools of Nursing for the Universities Coordinating council for five years, Margaret Steed joined the faculty of the University in 1974 as associate professor of Nursing and Director of Continuing Nursing Education. She acted as Associate Dean of Nursing, 1980-1981. Active with the Alberta Assocaition of Registered Nurses, she has been a consultant for many education and health groups, including the World Health Organization.	
Person	Steele, Samuel			
Person	Steer, G.H.			
Person	Steinke, Helen			
Person	Stelck, C.R.			
Person	Stenton, William C.			
Person	Stephanson, Barney Thorvardur			
Person	Stephenson, E.F.			
Corporate body	STET			
Person	Stevenson, Bruce R.			
Person	Stewart, Andrew			
Person	Stewart, D. K.			
Person	Stinson, Shirley			
Person	Stone, Marika			
Person	Stonhouse, Emily			
Person	Stott, Jon C.			
Person	Stotyn, K.A.			
Person	Strangeland, Robert			
Person	Strasdin, Dora			
Person	Strathern, Gloria M.			
Person	Strawson, Kathy 			
Person	Strickland, Edgar Harold			
Person	Stuart, Charles Allen			
Person	Stuart, Christopher I. J.			
Person	Stuart, Duncan			
Person	Stuart, Duncan			
Corporate body	Student Affairs			
Corporate body	Student Counselling Services	1959 -	Counselling for students had been the responsibility of individually assigned faculty advisors form 1944 until the creation of Student Advisory Services in 1950. In 1959 the service was renamed Student Counselling Services to reflect the desire for counselors' assistance to be taken as more than advice. Responsible to the Provost and later to the Dean of Student Services (from 1976), Student Counselling Services offers vocational and personal counselling to students, as well as study skills training and assistance regarding general academic concerns, to students at or planning to attend the University. A branch of the agency, Advisory services Centre, explains appeals procedures and rules of student conduct and provides emergency funds and bursaries for students in financial need.	
Corporate body	Student Ombudservice			
Corporate body	Student's Union			
Corporate body	Students' and Faculty Association			
Corporate body	Students' Union		The Students' Union is an organization composed of students at the University and its affiliated colleges and schools, and includes all societies, clubs and associations established under the authority of the constitution of the Union. The Chancellor, the Senate, members of the Board of Governors, the faculty and the members of the Alumni Association are honorary members of the Students' Union. The Union provides for the administration of the affairs of the students at the University, including the development and management of student institutions and the promotion of the general welfare of students consistent with the purposes of the University. The Students' Council is the legislative, administrative and executive body of the Union. It exercises powers conferred under the Universities Act, subject ot such limitations as are set out in its constitution.	
Corporate body	Students' Union - Vice President (Academic)			
Corporate body	Students' Union Housing Commission			
Corporate body	Students’ Union Discipline Committee			
Person	Studholme, Grace			
Corporate body	Studio Theatre			
Corporate body	Summer Students' Association			
Corporate body	Supply Management Services			
Corporate body	Surgical-Medical Research Institute	1960 -	Experimental surgery was conducted at the University of Alberta in the Mc Eachern Cancer Labratory eight years previous to the Institute's inauguration in 1960. The Institute is a non- departmental research facility for research fellows and clinical faculty at the University; its major areas of study include gastrointestinal motility, pancreatic and inslet cell transplantation, pulmonary research, and laser-Doppler flowmetry. in addition to research, the institute offers poatgraduate coursework in experimental surgery.	
Person	Sutphen, Steve			
Person	Swift, W.H.			
Person	Swripa, Frances			
Family	Symyrenko			
Corporate body	Syncrude Canada Ltd			
Corporate body	T.A.L.E.S.			
Corporate body	T.Y.P.E.			
Person	Taitt, Peter			
Person	Tansey, Sharon			
Person	Tartar, John			
Person	Tartarchuk, W. (Hank)			
Person	Tassie, Gilbert C.			
Person	Tate, Scott			
Person	Taylor, Diane			
Person	Taylor, Edmund		Of brokerage firm, Lougheed and Taylor Limited of Calgary.	
Person	Taylor, Geoffrey B.			
Person	Taylor, John Benjamin			
Person	Taylor, Malcolm Gordon			
Corporate body	Technical Services	1960 -	The Department of Technical Services functions as a support department and provides a variety of technical services to all University departments. The Department is separated both financially and physically in to ten divisions, relating primarily to the type of service offered.   The divisions were established in the following order:    1962- Machine Shop, Drafting and Technical Illustrating, Electronics, Photo Services  1967- Audio Visual Services  1968- Office Equipment Repair, Microscope Repair  1971- Scientific Glassblowing Services  1987- Television Services (now Video Production Centre)    Each Division is headed by a Supervisor who reports to the Director. (PACCR, 1987)  Records have been deposited in the Archives by two departments, Photographic Services and Television Services (Department of Radio and Television).	
Corporate body	Technical Services - A/V Services Division			
Corporate body	Technocracy Inc.			
