typeOfEntity	authorizedFormOfName	nameEntry-part	datesOfExistence	history	biogHist	XML file
Corporate body	Faculty of Education	University of Alberta Faculty of Education		From 1906 to 1945 teacher training in Alberta was provided by the provincial Department of Education at three Normal Schools. The University established courses within the Department of Philosophy and Psychology in 1911. A School of Education evolved, reporting within the Department from 1928 to 1934, when it became autonomous within the Faculty of Arts and Sciences. In 1939 the School became a College, in 1942 a Faculty, and in 1945 it took over all teacher education in the province. The Faculty of Education provides professional training for teachers through its undergraduate program, which offers specialization in primary, secondary, and post-secondary/adult education. In addition, it offers graduate studies for those seeking advanced specialization in education. It comprises the following departments: Educational Administration, Educational Foundations, Educational Psychology, Elementary Education, Secondary Education, and Adult, Career and Technology Education.	From 1906 to 1945 teacher training in Alberta was provided by  the provincial Department of Education at three Normal Schools.  The University established courses within the Department of  Philosophy and Psychology in 1911.  A School of Education evolved,  reporting within the Department from 1928 to 1934, when it became  autonomous within the Faculty of Arts and Science.  In 1939 the  School became a College, in 1942 a Faculty, and in 1945 it took  over all teacher education in the province.  The Faculty of Education provides professional training for teachers through its undergraduate program, which offers specialization in primary,  secondary, and post-secondary/adult education.  In addition, it  offers graduate studies for those seeking advanced specialization  in education.  It comprises the following departments ("divisions"  until 1961):  Educational Administration, Educational Foundations,  Educational Psychology, Elementary Education, Secondary Education,  and Adult, Career and Technology Education. Directors: 1928-[1939] Milton Ezra LaZerte.   Principals: [1939]-  1942 Milton Ezra LaZerte.   Deans: 1942-1950 Milton Ezra LaZerte;  1950-1955 Herbert Edgar Smith; 1955-1972 Herbert Thomas Coutts;  1972-1976 Myer Horowitz; 1976-1983 Walter Holmes Worth; 1983-  1991 Robert S. Patterson.	university-of-alberta-faculty-of-education.xml
Corporate body	Housing and Food Services	University of Alberta Housing and Food Services	1965 -	The Department, as it now exists, was first created in 1965/66. However, the University's residences and food services have been an integral part of the campus since the first University building was built in 1911. Housing and Food Services' mandate now extends beyond providing room and board to students.  The Department is an ancillary service department which reported to the Vice-President (Administration) through the Associate Vice-President (Student and Academic Services). The Department is organized in to five divisions:  Housing, Catering and Conference Services, Finance, and Facilities, and the Administrative Unit, all of which report to the Director. The Housing Division is responsible for the welfare of the occupants of the University's six resident communities and acts as landlord to the residence-related daycare centers. It maintains leases and contracts and liaison with the residence association.  The Catering and Conference Services Division maintains the dining hall, cafeteria, lunchrooms, concessions, catering service, and vending machines, rents meetings rooms and guest rooms in the residence buildings; and operates a conference management service.   The Facilities Division is responsible for the structural systems and for cleaning and maintaining all the buildings, rooms, equipment and furniture owned by the Department. The Finance Division processes the Department's accounts receivable; develops and maintains the budget document; prepares monthly reports and financial statements; and supervises the Department's computing systems and hardware.  The Administrative Support Unit includes the Personnel Office (a satellite of University Personnel Services and Staff Relations), and the Office staff (PACCR, 1988).	The Department, as it now exists, was first created in 1965/66.  However, the University's  residences and food services have been an integral part of the campus since the first University  building was built in 1911.  Housing and Food Services' mandate now extends beyond providing  room and board to students.  The Department is an ancillary service department which reported to the Vice-President  (Administration) through the Associate Vice-President (Student and Academic Services).  The  Department is organized into five divisions: Housing, Catering and Conference Services, Finance,  and Facilities, and the Administrative Unit, all of which report to the Director. The Housing  Division is responsible for the welfare of the occupants of the University's six residence  communities and acts as landlord to the residence-related day care centres.  It maintains leases and  contracts and liaison with the residence associations.  The Catering and Conference Services Division maintains the dining hall, cafeteria, lunchrooms,  concessions, catering service, and vending machines; rents meeting rooms and guest rooms in the  residence buildings; and operates a conference management service.  The Facilities Division is responsible for the structural systems and for cleaning and maintaining all  the buildings, rooms, equipment and furniture owned by the Department.  The Finance Division  processes the Department's accounts receivable; develops and maintains the budget document;  prepares monthly reports and financial statements; and supervises the Department's computing systems and hardware.  The Administrative Support Unit includes the Personnel Office (a satellite of University Personnel  Services and Staff Relations), and the Office staff (PACCR, 1988). Directors:  1965-1966 Derek Anthony Peter Bone (Acting); 1966-1969 Derek Anthony Peter Bone  1969-1970; Jack W. Raven (Acting); 1970-1974 Jack W. Raven; 1974-1978 David B. Young; 1978-  1985 Gail G. Brown; 1985-  David A. Bruch.	university-of-alberta-housing-and-food-services.xml
Corporate body	Office of the President and Vice-Chancellor	University of Alberta Office of the President and ViceChancellor	1906 -	The President is the chief executive officer of the University and the Vice-Chancellor. The Board of Governors appoints the President and prescribes the tenure of office. The President has the general supervision over and direction of the operation of the University, including its academic work, the instructional ancillary staff, and its business affairs. The Board has the authority to assign any other powers, duties, and functions to the President for the welfare of the University. The President may delegate any of her powers, duties or functions as she sees fit and prescribe conditions governing the exercise of any delegated power, duty or function, including the power of subdelegation. The President reports annually to the Board and the Senate on the academic work of the University and its progress and requirements, and makes any recommendations thereon she considers necessary.	The President is the chief executive officer of the University, and the Vice-Chancellor.  The Board of Governors appoints the President and prescribes his tenure of office.  The President has the general supervision over and direction of the operation of the University, including its academic work, the instructional and ancillary staff, (including the deans of the faculties, the registrar and the librarians), and its business affairs. The Board has the authority to assign any other powers, duties and functions to the President for the welfare of the University. The President may delegate any of his powers, duties or functions as he sees fit and prescribe conditions governing the exercise of any delegated power, duty or function, including the power of subdelegation. The President reports annually to the Board and the Senate on the academic work of the University and its progress and requirements, and makes any recommendations thereon he considers necessary (Alberta. Universities Act, RSA 1980). Presidents: 1908-1928 Henry Marshall Tory; 1928-1936 Robert Charles Wallace; 1936-1941 William Alexander Robb Kerr; 1941-1942 Robert Newton (Acting); 1942-1949 Robert Newton; 1949-1959 Andrew Stewart; 1959-1969 Walter Hugh Johns; 1969-1974 Max Wyman; 1974- 1979 Harry E. Gunning; 1979-1989 Myer Horowitz; 1989-  Paul Davenport.	university-of-alberta-office-of-president-and-vice-chancellor.xml
Corporate body	Faculty of Extension	University of Alberta Faculty of Extension	1912 -	The Faculty of Extension serves as a link between the University and the people of the Province who need access to the information and expertise of the University in order to solve practical problems and to further personal and professional growth and interests. The Department of Extension, established in 1912, became a Faculty in 1975. If offers continuing education and professional development non-credit, certificate, diploma programs, and courses in the areas of adult and continuing education, English as a second language, information access and protection of privacy, business, fine arts, the humanities, the professions, and applied sciences. Faculty members are involved in research, program development, instructional design, and instruction. Extension also offers an online Master of Arts in Communications and Technology (MACT) egree program, and credit courses in English for academic purposes, designed to prepare international students for the language and communications skills required by both undergraduate and graduate students at the University of Alberta. (Calendar 2005-2006)	The Faculty of Extension serves as a link between the University  and the people of the province who need access to the information  and expertise of the University in order to solve practical  problems and to further personal and professional growth and  interests.  The Department of Extension, established in 1912,  became a Faculty in 1975.  It offers continuing education courses  and programs in the areas of business, fine arts, the humanities,  the professions, and various sciences.  Faculty members are involved in consulting, training, and research in adult education  (Calendar, 1990/91);Major programs and division have included: 1913-1987 Extension  (Travelling) Library; 1917-  Educational Media Services Division  (Educational Film Library; Visual Instruction Division); 1927-1945  CKUA radio station; 1933-1957 Banff School of Fine Arts; 1950-1958  Petroleum Industry Training School; 1975-  Legal Resource Centre;  1983-   Office of Special Sessions. Directors: 1912-1928 Albert Edward Ottewell; 1928-1937 Edward  Annand Corbett; 1936-1938 Donald Roy Cameron (Acting); 1938-  1956 Donald Roy Cameron; 1956-1974 Duncan Darroch Campbell; 1974-  1975 Charles M. Lockwood (Acting).   Deans: 1975-1985 Charles M.  Lockwood; 1985 Richard R. Faryon; 1985-1990 Dennis Foth; 1990-  1991 G. Wayne Lamble.	university-of-alberta-faculty-of-extension.xml
Corporate body	Department of Forest Science	University of Alberta Department of Forest Science	1970 -	The Department offers courses leading to a BSc (Forestry) as well as to graduate degrees in forest science and a specialized MSc degree in Wildland Recreation. The department aims to train foresters with the ability to apply current knowledge and adapt new information to practice forestry competently; and to foster graduate studies and research; encourage technology transfer through extension programs; and to cooperate with industry, government and other university departments in order to increase teaching and research opportunities (PACCR,1983).	The Department of Forest Science offers courses leading to a BSc (Forestry) as well as to graduate degrees in forest science and a specialized MSc degree in Wildland Recreation.  The department aims to train foresters with the ability to apply current knowledge and adapt new information to practice forestry competently; and to foster graduate studies and research; encourage technology transfer through extension programs; and to cooperate with industry, government and other University departments in order to increase teaching and research opportunities (PACCR, 1983). Chairs: 1971-1974 John David Schultz; 1974-1975 Peter John Murphy (Acting); 1975-[1984] Peter John Murphy; 1980-1981 James A. Beck (Acting); 1984-1989 James A. Beck; 1989-  Bruce P. Dancik.	university-of-alberta-department-of-forest-science.xml
Corporate body	Interdisciplinary Studies	University of Alberta Interdisciplinary Studies	1975 - 1981	The establishment of the position of Dean of Interdisciplinary studies was approved by the Board of Governors in February, 1975. The Dean, reporting to the Vice-President (Academic), was charged with responsibility for the administration of existing interdisciplinary and multidisciplinary graduate programs, the development of further interdisciplinary degree programs at the graduate level, and for overseeing institutes and centers whose activities did not clearly lire within one particular faculty. Institutes, centers, and programs falling under Interdisciplinary Studies were Boreal Institute of Ukrainian Studies, the Centre for Advanced Study of Mental Retardation, the Devonian Botanic Garden, the Division of East European Studies, and the water Resources Centre. The duties of the Dean of Interdisciplinary Studies were transferred to the Vice-President (Research) in 1981.	The establishment of the position of Dean of Interdisciplinary  Studies was approved by the Board of Governors in February, 1975.  The Dean, reporting to the Vice-President (Academic), was charged  with responsibility for the administration of existing  interdisciplinary and multidisciplinary graduate programs, the  development of further interdisciplinary degree programs at the graduate level, and for overseeing institutes and centres whose  activities did not clearly lie within one particular faculty.  Institutes, centres, and programs falling under Interdisciplinary  Studies were the Boreal Institute for Northern Studies, the  Canadian Institute of Ukrainian Studies, the Centre for Advanced  Study in Theoretical Psychology, the Centre for the Study of Mental Retardation, the Devonian Botanic Garden, the Division of  Community Development, the Division of East European Studies, and  the Water Resources Centre.  The duties of the Dean of  Interdisciplinary Studies were transferred to the Vice-President  (Research) in 1981. Deans: 1976-1981 Gerald Seymour Hunter Lock.	university-of-alberta-interdisciplinary-studies.xml
Person	Ewasechko, Henry	Ewasechko Henry			Administrator, 1932-1996. Henry F. Ewasechko was born July 25, 1932 and graduated from high school in Golden Prairie, Saskatchewan. In 1965, he received his C.I.T.T. degree in Traffic Management from the University of Toronto. Mr. Ewasechko worked at a number of positions in the Canadian railway industry as well as being part owner of western supply stores in Medicine Hat and Lethbridge. In 1965, Mr. Ewasechko began working at the University of Alberta as an assistant systems analyst. Mr. Ewasechko was promoted to senior systems analyst in 1967 and became operations manager of the Computing Centre at the University of Alberta in 1970.	ewasechko-henry.xml
Person	Smith, Douglas Elstow	Smith Douglas Elstow	1912 -	Douglas E. Smith began lecturing in psychology at the University in 1937. He left (1941-1946) to serve in the Canadian Army as personnel officer. Appointed full professorship in 1949, he chaired the Department of Philosophy and Psychology between 1952 to 1972, retiring as Professor Emeritus in 1975.	Douglas Elstow Smith was born in Syndenham, Ontario on March 10, 1912.  He was the child of C. Kenneth Smith, a railway station agent, and A. Maud Davis, a schoolteacher. He attended high school in Belleville, Ontario. Owing to the itinerant nature of station agent work, the family moved often and Smith's mother gave Douglas considerable home schooling until high school. Smith excelled in school, winning scholarships in middle school and high school. These included a County Scholarship, Memorial Scholarship, and finally a scholarship to attend university that he applied to his studies at Queen's University in Kingston. By his second year Smith began to place his focus on psychology. While at Queen's Smith studied psychology almost exclusively under George Humphrey. In his fourth year Smith won a scholarship to continue studying psychology as a Queen's graduate student. He completed his Queen's M.A. Thesis, "Inhibition in Maze-Learning by the White Rat", under Martyn Estall in the spring of 1934. The following year Smith went to the University of Chicago to continue graduate studies in psychology under the renowned Karl Spencer Lashley with the ultimate intention of completing a Ph.D. in psychology. The following year Lashly moved to Harvard University and Smith followed to continue studying under him. He completed his dissertation, "Cerebral Localization in Somaesthetic Discrimination in the Rat, " in 1937. In 1937 the University of Alberta contacted Harvard University looking for a Canadian graduate candidate in psychology.  Smith accepted the University of Alberta's offer of a position as sessional instructor; the position became permanent in 1939. During this time, Smith gradually became involved in the Second World War. In 1938 he went into the COTC. He began training as a provisional Second-Lieutenant. By 1941-42 he had advanced to Captain working at the basic training centre in Vernon. In 1942 he moved to the Department of Personnel Selection Headquarters in Ottawa where he applied his knowledge of psychology to military duty selection. After the war, Smith returned from Ottawa to the University of Alberta. He became Dean of Arts and Science on a part time basis in the fall of 1957 and he was appointed acting Dean in August of 1958. Smith continued to teach a course in the history of psychology in the Department of Psychology but his primary responsibility remained as an administrator. Smith took a sabbatical leave in 1972-73 to do research in the Department of Psychology in University College London. Upon his return to the University of Alberta he resumed a position as professor of psychology and worked as a counselor in the University Student Counseling Services. He continued in these positions until retirement in 1975. Smith passed away in 1995.	smith-douglas-elstow.xml
Person	Greene, Evan	Greene Evan	1873 - 1966	Dr. Greene was one of Alberta's early doctors, arriving in 1904. He served as chief of staff to Dr. Frank Mewburn at the University, beginning as a demonstrator in anatomy in 1920. He subsequently became lecturer (1924) and assistant professor (1925) of Anatomy, and in 1928 gave up his private practice to become associate professor of Anatomy full-time. He was granted full professorship in 1939. In addition to his duties with the Department of Anatomy, he was lecturer in clinical medicine (1920-1925), instructor in surgery (1922-1928) and lecturer in surgical anatomy (1922-1945). He retired in 1945.	Surgeon, Anatomist, 1873-1966.  Dr. Greene was one of Alberta's early doctors, arriving in 1904.  He served as chief of staff to Dr. Frank Mewburn at the University, beginning as a demonstrator in anatomy in 1920.  He subsequently became lecturer (1924) and assistant professor (1925) of Anatomy, and in 1928 gave up his private practice to become associate professor of Anatomy full- time.  He was granted full professorship in 1939.  In addition to his duties with the Department of Anatomy, he was lecturer in clinical medicine (1920-1925), instructor in surgery (1922-1928) and lecturer in surgical anatomy (1922-1945).  He retired in 1945.	greene-evan-001.xml
Person	Welling, Helge	Welling Helge			Horticulturist [19--]- .  Helge Welling worked for the University of Alberta Department of Plant Sciences.	welling-helge.xml
Corporate body	Alumni Association	University of Alberta Alumni Association	1915 -	The Alumni Association, formed in 1915, confers automatic lifetime membership, without fee, on every graduate of the University. It reviews programs, provides advice and support to the University and is represented on the Board of Governors and the Senate. A president is elected each year to head the Council; the President of the University is an honorary member, and the presidents of the Students' Union and the Graduate Studemts' Association are ex officio members of the Council. Branches of the Association have been formed throughout the world and their representatives also sit on the Council.	The Alumni Association, formed in 1915, confers automatic lifetime membership, without fee, on every graduate of the University.  It reviews programs, provides advice and support to the University and is represented on the Board of Governors and the Senate.  A president is elected each year to head the Council; the President of the University is an honorary member, and the presidents of the Students' Union and the Graduate Students' Association are ex officio members of the Council.  Branches of the Association have been formed throughout the world and their representatives also sit on the Council. Graduates from the professional schools (Medicine, Dentistry, Pharmacy, Business, Nursing, Education, Forestry) can join special associations which promote the welfare of their Faculty under the aegis of the general Alumni Association. Elected secretaries kept the Association's records from 1915 to 1926.  Geoffrey B. Taylor, Assistant Registrar, provided his unpaid services as Secretary from 1926 to 1946.  A full-time paid position was established in that year. The purpose of the Alumni Affairs Office, headed by a Director, is to provide professional administrative management and support to the Association, and to oversee alumni involvement with the University.  While it may be possible to distinguish between the activities of the Association and the Office, and between some of the papers of each, because the two are so intertwined and because the Office provides all of the administrative support necessary for the functioning of the Association, the Archives has combined the records in this description. Secretaries: 1946-1947 John Clemence Gordon Brown; 1947-1951 John William Evans Markle; 1951-1977 Alex Gilmour Markle	university-of-alberta-alumni-association.xml
Person	Martin, John Kenneth	Martin John Kenneth	1918 -	J. K. martin was a professor and head of the department of Pediatrics from 1956 to 1972. he has published papers on cerebral palsy, poliomyelitis and thalidomide- induced mutations.	Physician, Pediatrician, 1918-  .  J.K. Martin was professor and head of the Department of  Pediatrics from 1956 to 1972.  He has published papers on cerebral palsy, poliomyelitis and  thalidomide-induced mutations.	martin-john-kenneth.xml
Corporate body	Department of Secondary Education	University of Alberta Department of Secondary Education		Undergraduate teacher preparation is the Department's reason for being. Nevertheless, it also invests its resources in graduate education, research, in-service work, and consultation for the University, provincial, national and international educational communities.	Undergraduate teacher preparation is the Department's reason for  being. Nevertheless, it also invests its resources in graduate  education, research, in-service work, and consultation for the  University, provincial, national and international educational  communities. Heads: 1950-1955 Herbert Thomas Coutts; 1955-1962 Harold Baker;  1962-1965 Lawrence William Downey; 1965-1966 Gerald L. Berry  (Acting); 1966-1969 Gerald L. Berry.   Chairs: 1969-1978 Gerald L.  Berry; 1978-1985 Ted Tetsuo Aoki; 1985-  Kenneth Gordon Jacknicke.	university-of-alberta-department-of-secondary-education.xml
Corporate body	Department of Occupational Therapy	University of Alberta Department of Occupational Therapy	1960 -	Begun in 9160 as a 3-year diploma program, Occupational Therapy offered its first 4- year diploma program, in 1970 and master's program in 1982 within the Faculty of Rehabilitation Medicine. Besides providing professional training for undergraduates and graduates, it participates in continuing education, research, consultation and professional associations, as well as developing field work experience programs.	Begun in 1960 as a 3-year diploma program, Occupational Therapy offered its first 4-year degree  program in 1970 and masterþs program in 1982 within the Faculty of Rehabilitation Medicine.  Besides providing professional training for undergraduates and graduates, it participates in  continuing education, research, consultation and professional associations, as well as developing field work experience programs. Heads [1960]-1973 Leonard G. Allbon; 1973-1976 Benita Bradley Fifield; 1975-1976 Sharon G.  Brintnell (Acting).   Chairs: 1976-1979 Sharon G. Brintnell; 1979-1982 Helen M. Madill;  1982-1983 Benita Bradley Fifield; 1983-19þ  Sharon G. Brintnell; 1989-1991 Gail Gilewich.	university-of-alberta-department-of-occupational-therapy.xml
Corporate body	Shastri Indo-Canadian Institute. University of Alberta Chapter	Shastri IndoCanadian Institute University of Alberta Chapter	1977 -	The Shastri Indo-Canadian Institute, established in 1968, seeks to build academic and cultural links between India and Canada, to foster mutual understanding, and to promote Canadian studies in India. To this end it supports fellowships in India andCanada, a Visiting Scholar Program, workshops, seminars and conferences, a library development program, and cultural and academic exchanges.  The Institute is suported by the governments of Canada and India. Chapters have been established at 14 Canadain universities. THe Board of Directors includes the High Commissioner for India and a representative from the Natinal Library of Canada.	The Shastri Indo-Canadian Institute, established in 1968, seeks to build academic and cultural links between India and Canada, to foster mutual understanding, and to promote Canadian studies in India.  To this end it supports fellowships in India and Canada, a Visiting Scholar Program, workshops, seminars and conferences, a library development program, and cultural and academic exchanges. The Institute is supported by the governments of Canada and India. Chapters have been established at 14 Canadian universities.  The Board of Directors includes the High Commissioner for India and a representative from the National Library of Canada.	shastri-indo-canadian-institute-university-of-alberta-chapter.xml
Corporate body	Faculty Club	Faculty Club University of Alberta	1960 -	This organization for academic staff began as the Men's Faculty Club in 1911 but changed its name in 1959 when women were permitted to join. In 1960, the Faculty Club merged with the year-old Faculty Common Room Association, and in 1964 it was inCorporate bodyd under the Societies Act. It aims are to provide social and recreational activites for members and guests to encourage intellectual association among academic staff.	This organization for academic staff began as the Men's Faculty Club in 1911 but changed its name in 1959 when women were permitted to join.  In 1960, the Faculty Club merged with the year-old Faculty Common Room Association, and in 1964 it was incorporated under the Societies Act.  Its aims are to provide social and recreational activities for members and guests and to encourage intellectual association among academic staff.	faculty-club-university-of-alberta.xml
Corporate body	Faculty of Arts and Science	University of Alberta Faculty of Arts and Science	1908 - 1963	The Faculty of arts and Science was the first faculty organized at the University, by a resolution of the first meeting of the Senate in March 1908. Dr. W. A. R. Kerr was named Dean in 1914. In 1963 the Faculty was divided: humanities and social sciences were assigned to the new Faculty of Arts; natural sciences to the new Faculty of Science.     Dr. W.A.R Kerr arrived to teach Modern Languages in 1909, a nd became the first Dean of the Faculty of Arts and Science in 1914. The Dean acted for the President during his absences from campus, chaired many major committees, and was actively involved in the development of the University. Before the advent of the department chairs, the Dean's Office handled every aspect of the entire faculty. The Council of the Faculty was forerunner of the General Faculties Council, Which is now the academic governing body of the University.	At its first meeting in March 1908, the Senate decided to  organize the new University of Alberta with one faculty, that of  Arts and Science.  When it opened its doors in September 1908, the  University consisted of a President, four professors and forty-  five students, in rooms rented from Queen Alexandra School.  Three  of the professors taught subjects in the Humanities, and the  fourth taught in the area of Applied Sciences, which later became the Faculty of Engineering. Dr. W.A.R. Kerr arrived to teach  Modern Languages in 1909, and became the first Dean of the Faculty  of Arts and Science in 1914. The Dean acted for the President  during his absences from campus, chaired many major committees,  and was actively involved in the development of the University.  Before the advent of department chairs, the Dean's Office handled every aspect of financial and academic business for the entire faculty.  The Council of the Faculty was the forerunner of the  General Faculties Council, which is now the academic governing  body of the University.  Arts and Science was separated into two  faculties in 1963. Deans: 1914-1936 William Alexander Robb Kerr; 1936-1938 William  Hardy Alexander; 1938-1945 George Malcolm Smith; 1945-1952 John  Macdonald; 1952-1957 Walter Hugh Johns; 1957-1963 Douglas Elstow  Smith .	university-of-alberta-faculty-of-arts-and-science.xml
Person	Jablonski, Marek	Jablonski Marek			Pianist, Educator, 1939-1999.  Marek Jablonski was born in Nazi-occupied Crakow on November 5, 1939 and began studying piano as a youngster in the city's music conservatory. When Mr. Jablonski was ten, his family decided to leave Poland. They emigrated to Canada and settled in Edmonton. He continued his studies with Gladys Egbert and attended the Banff Centre for the Arts during the summer. In 1958, Mr. Jablonski won the Dimitri Mitropoulos scholarship and began advanced studies at New York's Juilliard School with Rosina Lhevinne, a well-known piano teacher and the wife of renowned pianist Joseph Lhevinne. In 1961, he won first prize in Canada's national Jeunesses Musicales competition and made his débuts with a number of Canadian, American, and European orchestras. He gave solo recitals in Paris (Salle Gaveau), London (Wigmore Hall), New York (Carnegie Hall), Vienna (Grossemusikvereinsaal), Milan, and Montreal (Place des Arts). Mr. Jablonski was one of the few soloists able to fill the large concert halls of Canada. Mr. Jablonski's repertoire included Liszt, Brahms, Beethoven, Mozart, Schubert, Szymanowski, and Rachmaninoff, but Chopin was his favourite. In 1971, the National Film Board of Canada produced Jablonski, a film about the pianist. In Toronto he shared the limelight with Glenn Gould in a concert featuring music of the 1920s. He was to continue concertizing for the rest of his life. Side by side with his concert career, Jablonski dedicated himself passionately to teaching. In addition to his regular students in Edmonton at the University of Alberta, he found the time and enthusiasm to give masterclasses in Toronto (the Royal Conservatory of Music), Montreal, Bergamo, Milan, and Corfu. The most popular of his masterclasses were those given each summer, from 1975 until his death, at the Banff Centre for the Arts. Mr. Jablonski's students include Jon Kimura Parker, Kevin Fitzgerald, Bernadene Blaha, and Francine Kay. In 1999 a Chopin prize for talented young pianists was established in his name and an endowment fund set up. Mr. Jablonski died in May 1999.	jablonski-marek.xml
Person	Johnson, LeRoy Peter Vernon	Johnson LeRoy Peter Vernon	1905 - 1983	LeRoy Johnson obtained his BSc (1931) and MSc (1933) in agriculture at the University. After holding positions with the National Research council, and the Universities of Florida and Washington State, he returned to the University of Alberta in 1948 as associate professor of genetics and plant breeding. He became professor the next year and chair of the Department of Genetics from 1969 until, his retirement in 1970. A researcher in forest trees and field corps, his work led to the licensing of two new strains of barley. Besides his publications on agronomy, he wrote short stories, novels and a biography on Williams Aberhart in collaboration with Ola (Aberhart) Mac Nutt	Plant geneticist, Author, 1905-1983.  LeRoy Johnson obtained his BSc (1931) and MSc (1933) in  Agriculture at the University.  After holding positions with the National Research Council and the  Universities of Florida and Washington State, he returned to the University of Alberta in 1948 as associate professor of genetics and plant breeding.  He became professor the next year and chair of  the Department of Genetics from 1969 until his retirement in 1970.  A researcher in forest trees and  field crops, his work led to the licensing of two new strains of barley.  Besides his publications on  agronomy, he wrote short stories, novels and a biography of William Aberhart in collaboration with  Ola (Aberhart) MacNutt.	johnson-leroy-peter-vernon.xml
Person	La Zerte, Milton Ezra	LaZerte Milton Ezra	1885 - 1975	Milton E. LaZert worked as a teacher, principal and school inspector in the Alberta before joining the University as a lecturer in the Department of Philosophy, Psychology and Education (1923-1933). Upon the creation of the School of Education in 1929, he was appointed associate professor and Director of the School. He headed the School of Education under its reorganization as a College (1943) and Faculty (1945) and was named Professor Emeritus upon his retirement as Dean in 1950. He continued to be active in the educational field, as Dean of Educational the University of Winnipeg from 1955 to 1958, and in his work for numerous professional associations. In addition, he held office on Edmonton's City Council (1960-1962) and Public School Board(1962-1971).	Educator, Administrator, 1885-1975.  Milton E. LaZerte worked as a teacher, principal and school inspector in Alberta before joining the University as a lecturer in the Department of Philosophy, Psychology and Education (1924-1933).  Upon the creation of the School of Education in 1929, he was appointed associate professor and Director of the School.  He headed the School under its reorganizations as a College (1943) and Faculty (1945), and was named Professor Emeritus upon his retirement as Dean in 1950.  He continued to be active in the educational field, as Dean of Education at the University of Winnipeg from 1955 to 1958, and in his work for numerous professional associations.  In addition, he held office on Edmonton's City Council (1960-1962) and Public School Board (1962-1971).	lazerte-milton-ezra.xml
Corporate body	Department of Physical Therapy	University of Alberta Department of Physical Therapy	1954 -	Physical Therapy was a division of the School of Physical and Occupational Therapy (later Rehabilitation Medicine) before becoming a department in 1976 under the School's new Faculty status. In 1969/70 its diploma program was replaced by a degree program; its first master's program began in 1979. Among the department's activities are undergraduate, graduate and continuing education teaching, research, and public service.	Physical Therapy was a division of the School of Physical and Occupational Therapy (later  Rehabilitation Medicine) before becoming a department in 1976 under the Schoolþs new Faculty  status.  In 1969/70 its diploma program was replaced by a degree program; its first masterþs  program began in 1979. Among the departmentþs activities are undergraduate, graduate and  continuing education teaching, research, and public service. Heads: 1954-1962 John Richard Fowler; [1962]-1967 Ruth O.F. Bradshaw; 1967-1975 Alexander  Gordon Faulds; 1975-1976 Barrie Pickles.   Chairs: 1976-1979 Barrie Pickles; 1979-1980 Moyna  Jeanette Parker; 1980-  David J. Magee.	university-of-alberta-department-of-physical-therapy.xml
Corporate body	Technocracy Inc.	Technocracy Inc			The Technocratic movement was started by Howard Scott, an American engineer, in 1919. In that year, Scott and a number of other scientists and engineers, impressed by American mobilization efforts during the First World War, organized a group known as the Technical Alliance to conduct a survey of the of the potentialities of the American Economy in peacetime. The group was renamed Technocracy in 1930 and in 1932, its basic findings were published. In 1933, Technocracy was incorporated in New York State as a non-profit organization with Howard Scott as its director in chief. The objects of the new organization were: to carry out on a program of economic research; to bring technocratic theory to the attention of the public; and to provide a skeleton organization capable of forming the Technate of North America in the event of a final collapse of the social and economic order based on the price system. From the beginning the movement disavowed revolutionary and political activities. Scott began touring North America and soon chapters were formed in many North American centres including Calgary and Edmonton. The movement gained strength throughout the 1930s but in 1940, due to its stated opposition to the Second World War, was banned in Canada. The ban was lifted in 1943 when Technocracy modified their opposition to the war and sections were re-formed accordingly. However, the post-war years, perhaps due to continued economic prosperity saw membership and interest in Technocracy decrease. Though, relatively insignificant the movement has continued on into the early years of the 21st century.	technocracy-inc.xml
Corporate body	Photographic Services	University of Alberta Photographic Services	1962 -	Established as a division of Technical Services in 1962, Photographic Services provided on- location and studio photography, copy work, colour slide processing, printing and reproduction, and photo identification cards for students as part of the registration process (PACCR 1987).	Established as a division of Technical Services in 1962,  Photographic Services provides on-location and studio photography,  copy work, colour slide processing, printing and reproduction,  and photo identification cards for students as part of the  registration process (PACCR 1987). Supervisors:  1965-1966 J. Salt; 1967-1968 H.F. Dietrich; 1969-  1973; A. Chernick; 1974-1979 Doreen Cox; 1980-  David R. Spearing.	university-of-alberta-photographic-services.xml
