typeOfEntity	authorizedFormOfName	datesOfExistence	history	biogHist	XML file
Corporate body	Project Canada West	1970 - 1975	The aim of Project Canada West was to develop a Canadian Studies curriculum on urbanization for social studies programs in western Canada and study the feasibility of decentralized, teacher-oriented curriculum development. It was headed by Executive Director R.H Sabey and its trustees included representatives of the teachers' associations of the four western provinces and the Universities of Saskatchewan and Alberta. During its five-year mandate it supported the research and publishing of 14 sub-projects distributed throughout British Columbia, Alberta, Saskatchewan and Manitoba, with subjects ranging from Indian and Metis integration to rural-urban transition and Canadian urban government.	The aim of Project Canada West was to develop a Canadian Studies curriculum on urbanization for social studies programs in western Canada and to study the feasibility of decentralized, teacher- oriented curriculum development.  It was headed by Executive Director R.H. Sabey and its trustees included representatives of the teachers' associations of the four western provinces and the Universities of Saskatchewan and Alberta.  During its five-year mandate it supported the research and publishing of 14 sub- projects distributed throughout British Columbia, Alberta, Saskatchewan and Manitoba, with subjects ranging from Indian and Metis integration to rural-urban transition and Canadian urban government.	project-canada-west.xml
Corporate body	University of Alberta Hospitals	1922 -	The University of Alberta Hospitals originated in the Strathcona Hospital, founded in 1906. In 1913 the Hospital moved to a building constructed on university land. In 1922., the University took over administration of the Hospital and converted it into a teaching hospital for its medical school. The hospital remained under Universities direct control until 1929, when an Act of the provincial government inCorporate bodyd it with its own board. The Hospital still maintains a close association with the University, however; through its board, on which sit the University President and the Dean of Medicine, and joint faculty / hospital governing committees. The University of Alberta Hospitals board currently administers six health and research centers, including the Walter C. Mackenzie Health Sciences Centre. students in Medicine, Pharmacy and other health sciences receive instruction here.	The University of Alberta Hospitals originated in the Strathcona  Hospital, founded in 1906.  In 1913 the Hospital moved to a  building constructed on University land.  In 1922, the University took over administration of the Hospital and converted it into a teaching hospital for its medical school. The Hospital remained under the University's direct control until 1929, when an Act of  the provincial government incorporated it with its own board.  The Hospital still maintains a close association with the University,  however; through its board, on which sit the University President  and the Dean of Medicine, and joint faculty/hospital governing  committees.  The University of Alberta Hospitals board currently  administers six health and research centres, including the Walter  C. Mackenzie Health Sciences Centre.  Students in Medicine,  Nursing, Dentistry, Rehabilitation Medicine, Pharmacy and other health sciences receive instruction here. Chairs, Hospitals Board: 1922-1928 Henry Marshall Tory; 1929-  1936 Robert Charles Wallace; 1936-1938 H.H. Cooper; 1938-1943  G.R.F. Kirkpatrick; 1943-1948 Ray Ellis Staples; 1948-1951 R.  Winslow Hamilton; 1951-1953 James Walker; 1953-1954 A. Somerville  (Acting); 1954-1964 Donald J. Avison; 1964-1978 Gordon K. Wynn;  1979-1984 Peter M. Owen; 1984-1990 Egerton W. King; 1990-  R.J.  Harris.   Superintendents: 1922-1941 R.T. Washburn; 1940 J. Ross Vant (Acting); 1940-1942 Thomas Cox (Acting); 1942-1960 C. Angus  McGugan; 1960-1961 Leonard Reginald Adshead; 1961-1965 J. Douglas  Wallac. Presidents: 1966-1984 Bernard Snell; 1984-1987 Donald A. Cramp; 1987-  Donald Schurman.	university-of-alberta-hospitals.xml
Person	Owen, Francis	1866 - 1975	Francis Owen joined the University in 1920 as a lecturer in German; he was made a full professor in 1934. He served as head of the Department of Modern Languages from 1947 until his retirement as Professor Emeritus in 1952. Dr. Owen was particularly interested in philology and the origin of the German language from Indoeuropean stock; he wrote The Germanic People (1960) on the latter topic, as well as two novels, The Ravens of Woldan and Tristan and Isolde. During the war, 1939-1945, he served as Training Officer of the Canadian Officers' Training Corps (COTC) on campus, and Officer-in-Command, 1945-1947.	German scholar, Author, 1886-1975.  Francis Owen joined the University in 1920 as a lecturer in  German; he was made a full professor in 1934.  He served as head of the Department of Modern  Languages from 1947 until his retirement as Professor Emeritus in 1952.  Dr. Owen was  particularly interested in philology and the origin of the Germanic language from the Indoeuropean  stock; he wrote The Germanic People (1960) on the latter topic, as well as two novels, The Ravens  of Woldan and Tristan and Isolde.  During the war, 1939-1945, he served as Training Officer of the  Canadian Officers' Training Corps (COTC) on campus, and Officer-in-Command, 1945-1947.	owen-francis.xml
Corporate body	McDermid Studios	1906 -	The Edmonton professional photographic studio provided the University of Alberta with photographs for many official purposes such as the student yearbook 'Evergreen and Gold'. The McDermid collection offers views of students, staff and campus life during the 1930s and 1940s.	This Edmonton professional photographic studio provided the University of Alberta with photographs for many official purposes such as the student yearbook Evergreen and Gold.  The McDermid collection offers views of students, staff and campus life during the 1930s and 1940s.	mcdermid-studios-001.xml
Corporate body	Catalyst Theatre			The Catalyst Theatre was incorporated in 1978, but began from Theatre for Social Action projects directed by David Barnet in the Drama Department of the University of Alberta. One such piece, entitled Drinks before Dinner (1977), caught the attention of the Alberta Alcoholism and Addiction Commission and the commission funded a provincial tour of the piece. Soon other social agencies began to make inquiries, and Catalyst Theatre was formed, with Barnet the acting part-time artistic coordinator. In 1979, Jan Selman, a M.F.A. grad from Alberta, was hired to be Catalyst's first full- time artistic director. Catalyst's stated objectives from the outset were to "promote and practice the use of theatre for public education and as a catalyst for social action." Topics explored under this mandate included alcoholism and drug abuse, juvenile crime, spouse abuse, poverty and teen suicide. Plays were performed in whatever space the sponsors or tour location had available.  In 1985, Ruth Smillie replaced Jan Selman as artistic director. During Smillie's tenure Catalyst moved away from producing pieces for social agencies and began to pursue projects of its own choosing. In 1990, Catalyst, for the first time acquired its own performance space in the Edmonton neighbourhood of Garneau. The new performance space, though small, became known for its experiments in cabaret theatre. During Smillie's tenure, the theatre also developed the Takwakin project featuring the writing and direction of Floyd Favel. Favel's works All my Relations (1990) and Lady of Silences and Requiem (1992) featured all-Native casts and sought to develop new images of and for the contemporary native. Smillie resigned in early 1996 and was succeeded by the directing tandem of Joey Tremblay and Jonathan Cristenson. To cut costs, they moved Catalyst into a converted warehouse at 8523- 103 St., and revised the objective of Catalyst to focus on theatrical innovation instead of social change. The new commitment was to "creating original Canadian work that explores new possibilities for the theatrical art form and the process through which it was created," to "exposing work nationally and internationally", and to "challenging the artists and audiences who participate in the creation of that work."	catalyst-theatre.xml
Person	Glenfield, Mary			Actor, Volunteer, Historian, 1922-. Mary Glenfield was born in Wales and immigrated to Canada in 1951. Upon entering Canada, Ms. Glenfield settled in Edmonton and immediately became active in the fledgling Edmonton theatre community. Though she acted in numerous plays over the years, Ms. Glenfield  also played a significant role in the administrative development of Edmonton theatre. Along with her husband Frank, Ms. Glenfield was a founding member of the Walterdale Theatre (also known as the Edmonton Theatre Associates) in 1958 and was an enthusiastic booster of the idea of the fledgling theatre company occupying a permanent space, a first for community theatre in Edmonton. Ms. Glenfield remained involved with the Walterdale and Edmonton theatre over the years both as an actor and as a volunteer. She also began taking courses at the University of Alberta in 1962 and graduated with a B.A. in 1992. Upon graduation, Ms. Glenfield elected to continue her studies, and in 2001, completed an M.A. in Drama. Her unpublished thesis, The growth of theatre in Edmonton: from the early 1920s to 1965, is one of the only sources of information documenting the early years of Edmonton's theatrical heritage	glenfield-mary.xml
Corporate body	Canadian Circumpolar Institute		Established as the Boreal Institute for Northern Studies in 1960, this research group has as its prime objective the gathering and dissemination of information about the North in an effort to increase understanding and awareness of that part of Canada. To achieve this goal, the Institute has adopted a fourfold mandate: to promote scholaly research on the North; to disseminate knowledge about the North; to foster communication among northern-oriented researchers at the University of Alberta and beyond; and to encourage the involvement of Northerners in the activities of the Institute.Long-term and comprehensive research programs as well as grant-funded and contract projects were also operated under the aegis of the Institute. The Institute established a multi-disciplinary library of information on polar and cold regions. The name of the Boreal Institute was changed to the Canadian Circumpolar Institute in 1990.	Established as the Boreal Institute for Northern Studies, this research group has as its prime  objective the gathering and dissemination of information about the North in an effort to increase  understanding and awareness of that part of Canada.  To achieve this goal, the Institute has adopted  a fourfold mandate:  to promote scholarly research on the North; to foster communication among  northern-oriented researchers at the University of Alberta and beyond; to disseminate knowledge  about the North; and to encourage the involvement of Northerners in the activities of the Institute. Long-term and comprehensive research programs as well as grant-funded and contract projects are  also operated under the aegis of the Institute.  The Institute maintains active liaison with all faculties  offering courses in northern studies, especially the Department of Geography. The Institute established a multi-disciplinary library of information on polar and cold regions.  The collection  continues as the Canadian Circumpolar Library, under the administration of the University Libraries  (Calendar, 1990/91).  The name of the Boreal Institute was changed to the Canadian Circumpolar Institute/Institut circumpolaire canadien in 1990. Directors: 1960-1968 Advisory Board Directorate; 1968-1972 J. Jameson Bond; 1972-1973 Robbie  S. Jamieson (Acting); 1973-1976 Don Gill; 1974-1975 Robbie S. Jamieson (Acting); 1976-            1984  Robbie S. Jamieson; 1984-1987 Ahmad Sami Abdel Mohsen (Acting); 1987-[1990] Ross W. Wein;  [1990]-  Clifford G. Hickey.	canadian-circumpolar-institute.xml
Person	Ahrens, Arthur Christian	1904 - 1985	Dr. Ahrens was a graduate in dentistry from the University of Alberta (DDS, 1927) and Northwestern University (1940). He served in the Canadian Dental Corps and was an active member of the Canada in Dental Association and in the Alberta Dental Association. He was active in visits to rural Alberta schools, teaching dental hygiene to children and their parents.	Dentist, 1904-1985. Dr. Ahrens was a graduate in dentistry from the University of Alberta (DDS,  1927) and Northwestern University (1940).  He served in the Canadian Dental Corps and was an  active member of the Canadian Dental Association and the Alberta Dental Association.  He was  active in visits to rural Alberta schools, teaching dental hygiene to children and their parents.	ahrens-arthur-christian.xml
Person	Ewasechko, Henry			Administrator, 1932-1996. Henry F. Ewasechko was born July 25, 1932 and graduated from high school in Golden Prairie, Saskatchewan. In 1965, he received his C.I.T.T. degree in Traffic Management from the University of Toronto. Mr. Ewasechko worked at a number of positions in the Canadian railway industry as well as being part owner of western supply stores in Medicine Hat and Lethbridge. In 1965, Mr. Ewasechko began working at the University of Alberta as an assistant systems analyst. Mr. Ewasechko was promoted to senior systems analyst in 1967 and became operations manager of the Computing Centre at the University of Alberta in 1970.	ewasechko-henry.xml
Person	Smith, Douglas Elstow	1912 -	Douglas E. Smith began lecturing in psychology at the University in 1937. He left (1941-1946) to serve in the Canadian Army as personnel officer. Appointed full professorship in 1949, he chaired the Department of Philosophy and Psychology between 1952 to 1972, retiring as Professor Emeritus in 1975.	Douglas Elstow Smith was born in Syndenham, Ontario on March 10, 1912.  He was the child of C. Kenneth Smith, a railway station agent, and A. Maud Davis, a schoolteacher. He attended high school in Belleville, Ontario. Owing to the itinerant nature of station agent work, the family moved often and Smith's mother gave Douglas considerable home schooling until high school. Smith excelled in school, winning scholarships in middle school and high school. These included a County Scholarship, Memorial Scholarship, and finally a scholarship to attend university that he applied to his studies at Queen's University in Kingston. By his second year Smith began to place his focus on psychology. While at Queen's Smith studied psychology almost exclusively under George Humphrey. In his fourth year Smith won a scholarship to continue studying psychology as a Queen's graduate student. He completed his Queen's M.A. Thesis, "Inhibition in Maze-Learning by the White Rat", under Martyn Estall in the spring of 1934. The following year Smith went to the University of Chicago to continue graduate studies in psychology under the renowned Karl Spencer Lashley with the ultimate intention of completing a Ph.D. in psychology. The following year Lashly moved to Harvard University and Smith followed to continue studying under him. He completed his dissertation, "Cerebral Localization in Somaesthetic Discrimination in the Rat, " in 1937. In 1937 the University of Alberta contacted Harvard University looking for a Canadian graduate candidate in psychology.  Smith accepted the University of Alberta's offer of a position as sessional instructor; the position became permanent in 1939. During this time, Smith gradually became involved in the Second World War. In 1938 he went into the COTC. He began training as a provisional Second-Lieutenant. By 1941-42 he had advanced to Captain working at the basic training centre in Vernon. In 1942 he moved to the Department of Personnel Selection Headquarters in Ottawa where he applied his knowledge of psychology to military duty selection. After the war, Smith returned from Ottawa to the University of Alberta. He became Dean of Arts and Science on a part time basis in the fall of 1957 and he was appointed acting Dean in August of 1958. Smith continued to teach a course in the history of psychology in the Department of Psychology but his primary responsibility remained as an administrator. Smith took a sabbatical leave in 1972-73 to do research in the Department of Psychology in University College London. Upon his return to the University of Alberta he resumed a position as professor of psychology and worked as a counselor in the University Student Counseling Services. He continued in these positions until retirement in 1975. Smith passed away in 1995.	smith-douglas-elstow.xml
Person	Greene, Evan	1873 - 1966	Dr. Greene was one of Alberta's early doctors, arriving in 1904. He served as chief of staff to Dr. Frank Mewburn at the University, beginning as a demonstrator in anatomy in 1920. He subsequently became lecturer (1924) and assistant professor (1925) of Anatomy, and in 1928 gave up his private practice to become associate professor of Anatomy full-time. He was granted full professorship in 1939. In addition to his duties with the Department of Anatomy, he was lecturer in clinical medicine (1920-1925), instructor in surgery (1922-1928) and lecturer in surgical anatomy (1922-1945). He retired in 1945.	Surgeon, Anatomist, 1873-1966.  Dr. Greene was one of Alberta's early doctors, arriving in 1904.  He served as chief of staff to Dr. Frank Mewburn at the University, beginning as a demonstrator in anatomy in 1920.  He subsequently became lecturer (1924) and assistant professor (1925) of Anatomy, and in 1928 gave up his private practice to become associate professor of Anatomy full- time.  He was granted full professorship in 1939.  In addition to his duties with the Department of Anatomy, he was lecturer in clinical medicine (1920-1925), instructor in surgery (1922-1928) and lecturer in surgical anatomy (1922-1945).  He retired in 1945.	greene-evan-001.xml
Person	Welling, Helge			Horticulturist [19--]- .  Helge Welling worked for the University of Alberta Department of Plant Sciences.	welling-helge.xml
Person	Martin, John Kenneth	1918 -	J. K. martin was a professor and head of the department of Pediatrics from 1956 to 1972. he has published papers on cerebral palsy, poliomyelitis and thalidomide- induced mutations.	Physician, Pediatrician, 1918-  .  J.K. Martin was professor and head of the Department of  Pediatrics from 1956 to 1972.  He has published papers on cerebral palsy, poliomyelitis and  thalidomide-induced mutations.	martin-john-kenneth.xml
Corporate body	Shastri Indo-Canadian Institute. University of Alberta Chapter	1977 -	The Shastri Indo-Canadian Institute, established in 1968, seeks to build academic and cultural links between India and Canada, to foster mutual understanding, and to promote Canadian studies in India. To this end it supports fellowships in India andCanada, a Visiting Scholar Program, workshops, seminars and conferences, a library development program, and cultural and academic exchanges.  The Institute is suported by the governments of Canada and India. Chapters have been established at 14 Canadain universities. THe Board of Directors includes the High Commissioner for India and a representative from the Natinal Library of Canada.	The Shastri Indo-Canadian Institute, established in 1968, seeks to build academic and cultural links between India and Canada, to foster mutual understanding, and to promote Canadian studies in India.  To this end it supports fellowships in India and Canada, a Visiting Scholar Program, workshops, seminars and conferences, a library development program, and cultural and academic exchanges. The Institute is supported by the governments of Canada and India. Chapters have been established at 14 Canadian universities.  The Board of Directors includes the High Commissioner for India and a representative from the National Library of Canada.	shastri-indo-canadian-institute-university-of-alberta-chapter.xml
Person	Jablonski, Marek			Pianist, Educator, 1939-1999.  Marek Jablonski was born in Nazi-occupied Crakow on November 5, 1939 and began studying piano as a youngster in the city's music conservatory. When Mr. Jablonski was ten, his family decided to leave Poland. They emigrated to Canada and settled in Edmonton. He continued his studies with Gladys Egbert and attended the Banff Centre for the Arts during the summer. In 1958, Mr. Jablonski won the Dimitri Mitropoulos scholarship and began advanced studies at New York's Juilliard School with Rosina Lhevinne, a well-known piano teacher and the wife of renowned pianist Joseph Lhevinne. In 1961, he won first prize in Canada's national Jeunesses Musicales competition and made his débuts with a number of Canadian, American, and European orchestras. He gave solo recitals in Paris (Salle Gaveau), London (Wigmore Hall), New York (Carnegie Hall), Vienna (Grossemusikvereinsaal), Milan, and Montreal (Place des Arts). Mr. Jablonski was one of the few soloists able to fill the large concert halls of Canada. Mr. Jablonski's repertoire included Liszt, Brahms, Beethoven, Mozart, Schubert, Szymanowski, and Rachmaninoff, but Chopin was his favourite. In 1971, the National Film Board of Canada produced Jablonski, a film about the pianist. In Toronto he shared the limelight with Glenn Gould in a concert featuring music of the 1920s. He was to continue concertizing for the rest of his life. Side by side with his concert career, Jablonski dedicated himself passionately to teaching. In addition to his regular students in Edmonton at the University of Alberta, he found the time and enthusiasm to give masterclasses in Toronto (the Royal Conservatory of Music), Montreal, Bergamo, Milan, and Corfu. The most popular of his masterclasses were those given each summer, from 1975 until his death, at the Banff Centre for the Arts. Mr. Jablonski's students include Jon Kimura Parker, Kevin Fitzgerald, Bernadene Blaha, and Francine Kay. In 1999 a Chopin prize for talented young pianists was established in his name and an endowment fund set up. Mr. Jablonski died in May 1999.	jablonski-marek.xml
Person	Johnson, LeRoy Peter Vernon	1905 - 1983	LeRoy Johnson obtained his BSc (1931) and MSc (1933) in agriculture at the University. After holding positions with the National Research council, and the Universities of Florida and Washington State, he returned to the University of Alberta in 1948 as associate professor of genetics and plant breeding. He became professor the next year and chair of the Department of Genetics from 1969 until, his retirement in 1970. A researcher in forest trees and field corps, his work led to the licensing of two new strains of barley. Besides his publications on agronomy, he wrote short stories, novels and a biography on Williams Aberhart in collaboration with Ola (Aberhart) Mac Nutt	Plant geneticist, Author, 1905-1983.  LeRoy Johnson obtained his BSc (1931) and MSc (1933) in  Agriculture at the University.  After holding positions with the National Research Council and the  Universities of Florida and Washington State, he returned to the University of Alberta in 1948 as associate professor of genetics and plant breeding.  He became professor the next year and chair of  the Department of Genetics from 1969 until his retirement in 1970.  A researcher in forest trees and  field crops, his work led to the licensing of two new strains of barley.  Besides his publications on  agronomy, he wrote short stories, novels and a biography of William Aberhart in collaboration with  Ola (Aberhart) MacNutt.	johnson-leroy-peter-vernon.xml
Corporate body	Technocracy Inc.			The Technocratic movement was started by Howard Scott, an American engineer, in 1919. In that year, Scott and a number of other scientists and engineers, impressed by American mobilization efforts during the First World War, organized a group known as the Technical Alliance to conduct a survey of the of the potentialities of the American Economy in peacetime. The group was renamed Technocracy in 1930 and in 1932, its basic findings were published. In 1933, Technocracy was incorporated in New York State as a non-profit organization with Howard Scott as its director in chief. The objects of the new organization were: to carry out on a program of economic research; to bring technocratic theory to the attention of the public; and to provide a skeleton organization capable of forming the Technate of North America in the event of a final collapse of the social and economic order based on the price system. From the beginning the movement disavowed revolutionary and political activities. Scott began touring North America and soon chapters were formed in many North American centres including Calgary and Edmonton. The movement gained strength throughout the 1930s but in 1940, due to its stated opposition to the Second World War, was banned in Canada. The ban was lifted in 1943 when Technocracy modified their opposition to the war and sections were re-formed accordingly. However, the post-war years, perhaps due to continued economic prosperity saw membership and interest in Technocracy decrease. Though, relatively insignificant the movement has continued on into the early years of the 21st century.	technocracy-inc.xml
Person	Collip, James Bertram	1892 - 1965	Dr. Collip came to the University in 1915 as a lecturer in physiology and biochemistry. In 1921 he received a Rockefeller Scholarship at the University of Toronto, where he contributed significantly to the research on insulin and shared in Banting's and MacLeod's 1923 Nobel Prize in Medicine. Dr. Collip returned to the University of Alberta in 1922 as a professor of biochemistry. He attained his MD in 1926. In 1928 he joined McGill University as head of the biochemistry Department, and from 1947 to 1961 he was Dean of Medicine at the University of Western Ontario. Here he was Head of the Department of Medical Research, which he founded, until his death in 1965. Recent scholarship has enhanced   Dr. Collip's role in the development of insulin. Together with his other contributions in endocrinology, including his isolation of the parathyroid hormone during his tenure at the University of Alberta, he stands as a major figure in medical history.	Biochemist, 1892-1965.  Dr. Collip came to the University in 1915 as a lecturer in physiology and biochemistry.  In 1921 he received a Rockefeller Scholarship at the University of Toronto, where he contributed significantly to the research on insulin and shared in Banting's and MacLeod's 1923 Nobel Prize in Medicine. Dr. Collip returned to the University of Alberta in 1922 as a professor of biochemistry.  He attained his MD in 1926.  In 1928 he joined McGill University as head of the Biochemistry Department, and from 1947 to 1961 he was Dean of Medicine at the University of Western Ontario.  Here he was Head of the Department of Medical Research, which he founded, until his death in 1965. Recent scholarship has enhanced Dr. Collip's role in the development of insulin.  Together with his other contributions in endocrinology, including his isolation of the parathyroid hormone during his tenure at the University of Alberta, he stands as a major figure in medical history.	collip-james-bertram.xml
Corporate body	Phi Delta Kappa. University of Alberta Chapter	[ 1963?] -	Formed in 1906, Phi Delta Kappa is an international fraternal and honorary society for professional educators which has the aim of promoting quality education, particularly publicly-funded education, as necessary for democratic society. The University of Albert Chapter (also referred to as Epsilon Omega Chapter) has close, though not exclusive, ties with the Faculty of Education through its general membership and an ex officio faculty liaison officer and its executive. It supports activities at the international level, which include program and research sponsorship, conferences, and public relations.	Formed in 1906, Phi Delta Kappa is an international fraternal and honorary society for professional educators which has the aim of promoting quality education, particularly publicly-funded education, as necessary for a democratic society.  The University of Alberta Chapter (also referred to as the Epsilon Omega Chapter) has close, though not exclusive, ties with the Faculty of Education through its general membership and an ex officio faculty liaison officer on its executive.  It supports activities at the international level, which include program and research sponsorship, conferences, and public relations.	phi-delta-kappa-university-of-alberta-chapter.xml
Person	Campbell, Neil			Engineer, Geologist, 1914-1978. Neil Campbell was born in Medicine Hat in 1914 and graduated from the University of Alberta with a B.Sc. in Mining Engineering in 1937. He did post-graduate work at Queen's University and at the Massachusetts Institute of Technology where he earned a Ph.D. in 1943. In 1937, Mr. Campbell joined the Consolidated Mining and Smelting Company of Canada (later known as Cominco Ltd.) as a mining and exploration geologist in the Northwest Territories. In 1940, Mr. Campbell, using his own theory to predict the amount of lead and zinc hidden in the ground, persuaded Cominco to develop a seemingly worthless tract of land at Pine Point, NWT, and this resulted in the Pine Point Mine, one of the richest lead-zinc mines in the world. In 1943, he recognized and solved the West Bay fault problem, which led to the discovery of substantial new reserves of gold in the Con mine and spurred Yellowknife's development as a mining community. For his efforts on West Bay, which was also the topic of his dissertation, Mr. Campbell received the Barlow gold medal from the Canadian Institute of Mining and Metallurgy. In 1956, he provided the geological direction for the discovery of the Wedge copper mine in New Brunswick. In 1966, he was appointed chief geologist for Cominco. Mr. Campbell retired from Cominco in 1968 but continued his work as a geological engineer by forming his own consulting practice, which aided geological exploration in several different continents. In 1970, he received an honourary doctorate from the University of Alberta for his lifetime achievements. Mr. Campbell passed away in 1976. Mr. Campbell was survived by his wife Eunice, and his three children Alan, John, and Laura Ruth.	campbell-neil.xml
Person	Gads, Leonard Eustace	1907 - 1974	Leonard Gads was born in Russia in 1907; in 1926 he emigrated to Canada via Manchuria, China and Japan. He received his BSc in civil engineering from the University of Alberta in 1939 and joined the University staff that year. From 1942 to 1945 he served with the Royal Canadian Air Force as interpreter for the British governors on the Control Commission for Germany, returning to the University in 1946 as an assistant professor. He was named full professor in 1956 and acted as associate Dean of Engineering from 1959 until his retirement in 1971. He was appointed Professor Emeritus in 1972. Dr. Gads made several return visits to the Soviet Union after his retirement.	Civil engineer, Administrator, 1907-1974.  Leonard Gads was born in Russia in 1907; in 1926 he emigrated to Canada via Manchuria, China and Japan.  He received his BSc in civil engineering from the University of Alberta in 1939 and joined the University staff that year.  From 1942 to 1945 he served with the Royal Canadian Air Force and as interpreter for the British governors on the Control Commission for Germany, returning to the University in 1946 as an assistant professor.  He was named full professor in 1956 and acted as Associate Dean of Engineering from 1959 until his retirement in 1971.  He was appointed Professor Emeritus in 1972.  Dr. Gads made several return visits to the Soviet Union after his retirement.	gads-leonard-eustace.xml
Corporate body	Treaty Number Eight	1899 -	Treaty No.8, signed in 1899, included lands in northern Alberta, northwestern Saskatchewan and a small part of the Northwest Territories of Canada.	Treaty No. 8, signed in 1899, included lands in northern Alberta, northwestern Saskatchewan and a small part of the Northwest Territories of Canada.	treaty-number-eight.xml
Person	Edwards, Oliver Cromwell	1847 - 1911	Dr. O.C Edwards practiced medicine at Fort Qu' Appelle, Saskatchewan during the 1880s and in 1900 served as medical officer for the Indian Commission party administering the signing of Treaty No.8 at Fort Chipewyan Alberta. He then moved on to practice for eleven years on the Blood and Piegan Reserves at Fort MacLeod. He was an avid collector of native artifacts, and in 1919 or 1920 his widow, Henrietta Muir Edwards, sold his collection to the University. Their son, William Muir Edwards, was one of the first four professors at the University (1908-1918).	Physician, Collector, 1847-1911.  Dr. O.C. Edwards practiced medicine at Fort Qu'Appelle, Saskatchewan during the 1880s and in 1900 served as medical officer for the Indian Commission party administering the signing of Treaty No. 8 at Fort Chipewyan, Alberta.  He then moved on to practice for eleven years on the Blood and Peigan Reserves at Fort MacLeod.  He was an avid collector of native artifacts, and in 1919-1920 his widow, Henrietta Muir Edwards, sold his collection to the University of Alberta.  Their son, William Muir Edwards, was one of the first four professors at the University (1908-1918).	edwards-oliver-cromwell.xml
Corporate body	Canadian Journal of Sociology		The Canadian Journal of Sociology is published by the Department of Sociology at the University of Alberta. The Journal was founded in 1975 and is published monthly and consists of peer-reviewed articles written on a host of varied sociological topics. It has established an excellent reputation as a leading source of information on Canadian Society, as well as new trends in the discipline internationally.	Begun in 1975,and coordinated by the University of Alberta Department of Sociology, the Canadian Journal of Sociology publishes peer-reviewed research articles and theoretical essays by social scientists from around the world, providing insight into the issues facing Canadian society as well as social and cultural systems in other countries. In addition each issue of the Canadian Journal of Sociology has a comprehensive book review section.	canadian-journal-of-sociology.xml
Person	Lewis, Francis John			Botanist, Administrator, 1875-1955.  Francis John Lewis came to the University of Alberta from the University of Liverpool in 1912 to become the first head of the Department of Botany.  In addition to his role in shaping the new department he served on the Senate from 1918 to 1920.  One of his major research projects was the study of the vegetation of central Alberta. In 1937 he left Edmonton to become chair of the Botany Department at Fouad I University in Cairo, where he taught until his retirement to England in 1946. There he continued his teaching, research and writing until his death.	lewis-francis-john.xml
Person	Bowers, Frank Gresty	1863 - 1921	After teaching in England, the Bahamas and Toronto, F.G Bowers came to Alberta in 1907 as a civil servant with the Department of the Attorney General. From 1912 until his death he served as Librarian to the University of Alberta.	Librarian, 1863-1921.  After teaching in England, the Bahamas and Toronto, F.G. Bowers came to Alberta in 1907 as a civil servant with the Department of the Attorney General.  From 1912 until his death he served as Librarian to the University of Alberta.	bowers-frank-gresty.xml
Corporate body	Riel Project			Under the sponsorship of the Universities of Alberta, Calgary, and Sherbrooke, the Riel Project was established to publish a critical, bilingual edition of the collected writings of Louis Riel to mark the 100th anniversary of his death.  A five-volume edition was published by the University of Alberta Press in 1985. Dr. G.F.G. Stanley was the general editor of the Project. Editorial and institutional files contain materials which predate the Project.	riel-project.xml
Person	Smith, Herbert Edgar	1890 - 1969	After a varied teaching career in Saskatchewan and Alberta, Herbert E. Smith was appointed assistant professorship of Philosophy at the University in 1929. Following a wartime leave of absence, he served as Director of Summer Session (1945-1949). In 1949 he was granted a full professorship, and from 1950 until his retirement in 1955 he was Dean of the Faculty of Education. He also taught a special lecturer in Psychology from 1935 to 1950. Under his deanship, the education faculty expanded its teaching program to become a centre for graduate study and research	Educator, Administrator, Teacher, 1890-1969.  After a varied teaching career in Saskatchewan and Alberta, Herbert E. Smith was appointed assistant professor of Philosophy at the University in 1929.  Following a wartime leave of absence, he served as Director of Summer Session (1945-1949).  In 1949 he was granted a full professorship, and from 1950 until his retirement in 1955 he was Dean of the Faculty of Education.  He also taught as a special lecturer in Psychology from 1935 to 1950.  Under his deanship, the education faculty expanded its teaching program to become a centre for graduate study and research.	smith-herbert-edgar.xml
Corporate body	Entomological Society of Alberta	1953 -	The Society was founded to foster the advancement, exchange, and dissemination of the knowledge of insects in relation to their importance in agriculture, horticulture, forestry, public health and industry, and for their own sake, among the people of Alberta.	The Society was founded to foster the advancement, exchange, and dissemination of the knowledge of insects in relation to their importance in agriculture, horticulture, forestry, public health and industry, and for their own sake, among the people of Alberta.	entomological-society-of-alberta.xml
Person	Bhatia, Avadh Behari	1921 - 1964	Born in India, Dr.Bhatia received advanced degrees from the University of Allahabad and Liverpool. He was a researcher under Max Born at the University of Edinburgh. He came to Canada on a National Research Council fellowship, and in 1954 joined the Department of Physics at the University. From 1964 to 1969 he was director of the Theoretical Physics Institute. He was a pioneer in electronic transport theory and the study of diffraction of light by ultrasonic waves.	Physicist, 1921-1984.  Born in India, Dr. Bhatia received advanced degrees from the University of  Allahabad and Liverpool.  He was a researcher under Max Born at the University of Edinburgh.  He came to Canada on a National Research Council fellowship, and in 1954 joined the Department  of Physics at the University.  From 1964 to 1969 he was director of the Theoretical Physics Institute.  He was a pioneer in electronic transport theory and the study of diffraction of light by  ultrasonic waves.	bhatia-avadh-behari.xml
