Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Coulter, Kenneth C			Coulter, Kenneth C				Coulter, Kenneth C			Person		http://example.org/1065488#Agent700-23	
International Bureau of Education	n79040151	100	International Bureau of Education		n79040151		International Bureau of Education	n79040151	1	Organization		http://example.org/1055792#Agent110-12	
Unesco	n79054523		Unesco		n79054523		Unesco	n79054523	0.8571428571	Organization		http://example.org/1055792#Agent710-24	
International Conference on Public Education (31st : 1968 : Geneva)			International Conference on Public Education (31st : 1968 : Geneva)				International Conference on Public Education (31st : 1968 : Geneva)			Meeting		http://example.org/1055792#Agent711-25	
Rouček, Joseph S. (Joseph Slabey), 1902-1984	n50049959	99	Rouček, Joseph S. (Joseph Slabey), 1902-1984	n50049959	n50049959	1	Rouček, Joseph S. (Joseph Slabey), 1902-1984			Person		http://example.org/1092208#Agent100-12	
Mann, Alfred, 1917-2006	n81053674	100	Mann, Alfred, 1917-2006	n81053674	n81053674	0.9583333333	Mann, Alfred, 1917-2006			Person		http://example.org/1083041#Agent100-10	
Nagpaul, Hans	n89267669	100	Nagpaul, Hans	n89267669	n89267669	0.9285714286	Nagpaul, Hans			Person		http://example.org/1042843#Agent100-11	
Zimmern, Alfred Eckhard, 1879-			Zimmern, Alfred Eckhard, 1879-				Zimmern, Alfred Eckhard, 1879-			Person		http://example.org/1054476#Agent100-10	
University of Oxford	n79095521	100	University of Oxford		n79095521		University of Oxford	n79095521	0.9523809524	Organization		http://example.org/1054476#Agent710-19	
Wilkins, Ralph G., 1927-	n79122450	100	Wilkins, Ralph G., 1927-	n79122450	n79122450	0.8571428571	Wilkins, Ralph G., 1927-			Person		http://example.org/1068477#Agent100-13	
Aarsleff, Hans	n81055720	100	Aarsleff, Hans	n81055720	n81055720	1	Aarsleff, Hans			Person		http://example.org/1088811#Agent100-13	
Hsu, Francis L. K., 1909-1999	n79114068	100	Hsu, Francis L. K., 1909-1999	n79114068	n79114068	1	Hsu, Francis L. K., 1909-1999			Person		http://example.org/1021967#Agent100-11	
Riker, William H.	n79063763	100	Riker, William H	n79063763	n79063763	0.9411764706	Riker, William H			Person		http://example.org/1052772#Agent100-10	
Music Educators National Conference (U.S.)	n80015914	100	Music Educators National Conference (U.S.)		n80015914		Music Educators National Conference (U.S.)	n80015914	1	Organization		http://example.org/1075744#Agent110-15	
Gary, Charles L.	n50016996	100	Gary, Charles L	n50016996	n50016996	0.9375	Gary, Charles L			Person		http://example.org/1075744#Agent700-25	
Butler, David E.	n95013714	100	Butler, David E				Butler, David E			Person		http://example.org/1040159#Agent100-11	
Stokes, Donald E.	n50010410	100	Stokes, Donald E	n50010410	n50010410	0.9411764706	Stokes, Donald E			Person		http://example.org/1042702#Agent100-16	
McDonald, Neil A.	no90011757	100	McDonald, Neil A	no90011757	no90011757	0.9411764706	McDonald, Neil A			Person		http://example.org/1042824#Agent100-13	
Barker, Ernest, 1874-	n80015799	80	Barker, Ernest, 1874-				Barker, Ernest, 1874-			Person		http://example.org/1039160#Agent100-10	
Jenkin, Thomas Paul, 1915-	no2006076084	100	Jenkin, Thomas Paul, 1915-	no2006076084	no2006076084	1	Jenkin, Thomas Paul, 1915-			Person		http://example.org/1041004#Agent100-11	
Hyneman, Charles Shang, 1900-	n50030395	83	Hyneman, Charles Shang, 1900-				Hyneman, Charles Shang, 1900-			Person		http://example.org/1039116#Agent100-19	
Hacker, Andrew	n50020627	100	Hacker, Andrew	n50020627	n50020627	1	Hacker, Andrew			Person		http://example.org/1044573#Agent100-16	
Duverger, Maurice, 1917-	n50028764	89	Duverger, Maurice, 1917-	n50028764	n50028764	0.8275862069	Duverger, Maurice, 1917-			Person		http://example.org/1040250#Agent100-13	
Plog, Fred	n79135059	100	Plog, Fred	n79135059	n79135059	1	Plog, Fred			Person		http://example.org/1027469#Agent100-14	
Waldo, Dwight	n80037898	100	Waldo, Dwight	n80037898	n80037898	0.9285714286	Waldo, Dwight			Person		http://example.org/1044392#Agent100-14	
Hofferbert, Richard I., 1937-	n88231176	100	Hofferbert, Richard I., 1937-	n88231176	n88231176	0.8787878788	Hofferbert, Richard I., 1937-			Person		http://example.org/1027584#Agent100-12	
American Coucnil on Education. Committee on Religion and Education			American Coucnil on Education. Committee on Religion and Education				American Coucnil on Education. Committee on Religion and Education			Organization		http://example.org/1070447#Agent110-10	
Brown, Nicholas C.	no99079559	100	Brown, Nicholas C	no99079559	no99079559	0.9444444444	Brown, Nicholas C			Person		http://example.org/1070447#Agent700-19	
Wolfram, Walt, 1941-	n80005777	100	Wolfram, Walt, 1941-	n80005777	n80005777	0.8333333333	Wolfram, Walt, 1941-			Person		http://example.org/1025542#Agent100-12	
Fasold, Ralph W.	n50011985	100	Fasold, Ralph W	n50011985	n50011985	0.9375	Fasold, Ralph W			Person		http://example.org/1025542#Agent700-23	
Spencer, Herbert, 1820-1903	n80038441	100	Spencer, Herbert, 1820-1903	n80038441	n80038441	0.9642857143	Spencer, Herbert, 1820-1903			Person		http://example.org/1024818#Agent100-14	
Dunkin, M. J., 1936-			Dunkin, M. J., 1936-				Dunkin, M. J., 1936-			Person		http://example.org/1035607#Agent100-14	
Biddle, Bruce J. (Bruce Jesse), 1928-	n78079513	100	Biddle, Bruce J. (Bruce Jesse), 1928-	n78079513	n78079513	1	Biddle, Bruce J. (Bruce Jesse), 1928- 			Person		http://example.org/1035607#Agent700-25	
Mehlinger, Howard D.	n79060626	100	Mehlinger, Howard D	n79060626	n79060626	0.95	Mehlinger, Howard D			Person		http://example.org/1042361#Agent100-13	
Mittler, Peter J.	n50000414	100	Mittler, Peter J	n50000414	n50000414	0.9411764706	Mittler, Peter J			Person		http://example.org/1029918#Agent100-13	
Carter, Harold	n50032387	100	Carter, Harold	n50032387	n50032387	1	Carter, Harold			Person		http://example.org/1031669#Agent100-16	
Hauser, Philip M., 1909-1994	n79065201	100	Hauser, Philip M., 1909-1994	n79065201	n79065201	1	Hauser, Philip M., 1909-1994			Person		http://example.org/105192#Agent100-13	
Schnore, Leo Francis, 1927-	n50004700	100	Schnore, Leo Francis, 1927-	n50004700	n50004700	0.8709677419	Schnore, Leo Francis, 1927-			Person		http://example.org/105192#Agent700-23	
Vigna, Ralph A			Vigna, Ralph A				Vigna, Ralph A			Person		http://example.org/1012651#Agent100-11	
Halbert, Thomas D			Halbert, Thomas D				Halbert, Thomas D			Person		http://example.org/1012651#Agent700-24	
University of Calgary. Division of Continuing Education	n88639303	100	University of Calgary. Division of Continuing Education		n88639303		University of Calgary. Division of Continuing Education	n88639303	1	Organization		http://example.org/1012651#Agent710-25	
Tusler, Robert L.	n82063692	100	Tusler, Robert L	n82063692	n82063692	0.9411764706	Tusler, Robert L			Person		http://example.org/1074658#Agent100-16	
Bach, Johann Sebastian, 1685-1750	n79021425	100	Bach, Johann Sebastian, 1685-1750	n79021425	n79021425	0.9705882353	Bach, Johann Sebastian, 1685-1750			Person		http://example.org/1074658#Agent600-28	
Earp, F. R. (Frank Russell), 1871-1955	n90644702	100	Earp, F. R. (Frank Russell), 1871-1955	n90644702	n90644702	0.9736842105	Earp, F. R. (Frank Russell), 1871-1955			Person		http://example.org/1091842#Agent100-12	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1091842#Agent600-21	
Speltz, Alexander	n93116388	100	Speltz, Alexander	n93116388	n93116388	0.9444444444	Speltz, Alexander			Person		http://example.org/1088437#Agent100-10	
Spiers, Richard Phené			Spiers, Richard Phené				Spiers, Richard Phené			Person		http://example.org/1088437#Agent700-20	
Speltz, Alexander	n93116388	100	Speltz, Alexander	n93116388	n93116388	0.9444444444	Speltz, Alexander			Person		http://example.org/1088438#Agent100-12	
Hippler, Arthur E.	n50034986	100	Hippler, Arthur E	n50034986	n50034986	0.9444444444	Hippler, Arthur E			Person		http://example.org/109156#Agent100-14	
Wood, John Richard, 1945-			Wood, John Richard, 1945-				Wood, John Richard, 1945-			Person		http://example.org/109156#Agent700-25	
Thass-Thienemann, Theodore, 1890-1985	n50081902	100	Thass-Thienemann, Theodore, 1890-1985	n50081902	n50081902	1	Thass-Thienemann, Theodore, 1890-1985			Person		http://example.org/1094419#Agent100-11	
Hale, Barbara M.	no96068250	100	Hale, Barbara M	no96068250	no96068250	0.9375	Hale, Barbara M			Person		http://example.org/105693#Agent100-12	
Alpren, Morton			Alpren, Morton				Alpren, Morton			Person		http://example.org/1065226#Agent700-22	
Mitroff, Ian I.	n79018766	100	Mitroff, Ian I	n79018766	n79018766	0.9333333333	Mitroff, Ian I			Person		http://example.org/1051123#Agent100-11	
Project Apollo (U.S.)	n85308634	100	Project Apollo (U.S.)		n85308634		Project Apollo (U.S.)	n85308634	1	Organization		http://example.org/1051123#Agent610-20	
Steeves, Frank L			Steeves, Frank L				Steeves, Frank L			Person		http://example.org/1065219#Agent100-11	
Durham, Charles Love, 1872-1949	no2004078190	100	Durham, Charles Love, 1872-1949	no2004078190	no2004078190	1	Durham, Charles Love, 1872-1949			Person		http://example.org/1092466#Agent100-10	
Plautus, Titus Maccius	n80014980	100	Plautus, Titus Maccius	n80014980	n80014980	1	Plautus, Titus Maccius			Person		http://example.org/1092466#Agent600-18	
Abel, Theodora Mead, 1899-1998	n86137949	100	Abel, Theodora Mead, 1899-1998	n86137949	n86137949	1	Abel, Theodora Mead, 1899-1998			Person		http://example.org/1033500#Agent100-10	
Kinder, Elaine Flitner, 1890-1979	no2009087704	100	Kinder, Elaine Flitner, 1890-1979	no2009087704	no2009087704	1	Kinder, Elaine Flitner, 1890-1979			Person		http://example.org/1033500#Agent700-21	
Burt, Cyril Lodowic, Sir, 1883-1971			Burt, Cyril Lodowic, Sir, 1883-1971				Burt, Cyril Lodowic, Sir, 1883-1971			Person		http://example.org/1071634#Agent100-11	
West, John, 1778-1845	no2003012603	100	West, John, 1778-1845	no2003012603	no2003012603	1	West, John, 1778-1845			Person		http://example.org/1012059#Agent100-13	
Seeley, Leonard Benton, 1766-1834	nr92044358	100	Seeley, Leonard Benton, 1766-1834	nr92044358	nr92044358	1	Seeley, Leonard Benton, 1766-1834			Person		http://example.org/1012059#Agent700-31	
L. B. Seeley and Sons	no2007056827	100	L. B. Seeley and Sons		no2007056827		L. B. Seeley and Sons	no2007056827	1	Organization		http://example.org/1012059#Agent710-32	
Appadorai, A. (Angadipuram), 1902-1990	n50022677	100	Appadorai, A. (Angadipuram), 1902-1990	n50022677	n50022677	1	Appadorai, A. (Angadipuram), 1902-1990			Person		http://example.org/1041463#Agent100-14	
Braybrooke, Patrick, 1894-	n50042426	100	Braybrooke, Patrick, 1894-	n50042426	n50042426	1	Braybrooke, Patrick, 1894-			Person		http://example.org/10219#Agent100-11	
Shaw, Bernard, 1856-1950	n79006533	100	Shaw, Bernard, 1856-1950	n79006533	n79006533	0.96	Shaw, Bernard, 1856-1950			Person		http://example.org/10219#Agent600-19	
Aesop	n81066350	100	Aesop				Aesop			Person		http://example.org/1020597#Agent100-10	
Neutze, Max, 1934-	n50004599	100	Neutze, Max, 1934-	n50004599	n50004599	1	Neutze, Max, 1934-			Person		http://example.org/105220#Agent100-11	
Schafer, Robert	n80020501	100	Schafer, Robert				Schafer, Robert			Person		http://example.org/1057419#Agent100-13	
Donaldson, Scott	nb2011030369	100	Donaldson, Scott	n96089474	n96089474	0.8421052632	Donaldson, Scott			Person		http://example.org/105158#Agent100-13	
Douglass, H. Paul (Harlan Paul), 1871-1953	n50027510	100	Douglass, H. Paul (Harlan Paul), 1871-1953	n50027510	n50027510	1	Douglass, H. Paul (Harlan Paul), 1871-1953			Person		http://example.org/1032180#Agent100-11	
Van Vuuren, Nancy, 1938-	n80013110	100	Van Vuuren, Nancy, 1938-	n80013110	n80013110	1	Van Vuuren, Nancy, 1938-			Person		http://example.org/1013479#Agent100-11	
Schultz, Donald O., 1939-	n79036920	100	Schultz, Donald O., 1939-	n79036920	n79036920	1	Schultz, Donald O., 1939-			Person		http://example.org/10505#Agent100-13	
Scott, Stanley K			Scott, Stanley K				Scott, Stanley K			Person		http://example.org/10505#Agent700-22	
Berger, John	n79135220	100	Berger, John	n79135220	n79135220	1	Berger, John			Person		http://example.org/1086201#Agent100-10	
Picasso, Pablo, 1881-1973	n78086005	100	Picasso, Pablo, 1881-1973	n78086005	n78086005	0.9615384615	Picasso, Pablo, 1881-1973			Person		http://example.org/1086201#Agent600-18	
Tracy, John Evarts, 1880-1959	no96039459	100	Tracy, John Evarts, 1880-1959	no96039459	no96039459	1	Tracy, John Evarts, 1880-1959			Person		http://example.org/1029717#Agent100-13	
Wage, Jan Laurens			Wage, Jan Laurens				Wage, Jan Laurens			Person		http://example.org/1054773#Agent100-12	
Sievert, Ullrich	no2007024359	100	Sievert, Ullrich	no2007024359	no2007024359	1	Sievert, Ullrich			Person		http://example.org/1054773#Agent700-23	
Van Dersal, William Richard, 1907-	n50045047	100	Van Dersal, William Richard, 1907-	n50045047	n50045047	1	Van Dersal, William Richard, 1907-			Person		http://example.org/1046000#Agent100-13	
Shultz, Gladys Denny	n85069085	100	Shultz, Gladys Denny	n85069085	n85069085	1	Shultz, Gladys Denny			Person		http://example.org/1031064#Agent100-11	
Meston, Michael C. (Michael Charles)	n84090150	100	Meston, Michael C. (Michael Charles)	n84090150	n84090150	1	Meston, Michael C. (Michael Charles)			Person		http://example.org/109015#Agent100-10	
Great Britain	n79023147	100	Great Britain				Great Britain			Organization		http://example.org/109015#Agent610-18	
Lawton, William Cranston, 1853-1941	n86095870	100	Lawton, William Cranston, 1853-1941	n86095870	n86095870	1	Lawton, William Cranston, 1853-1941			Person		http://example.org/1090892#Agent100-12	
Hesiod	n50062731	100	Hesiod	n50062731	n50062731	1	Hesiod			Person		http://example.org/1090892#Agent600-21	
Warburg, Gabriel	n79095281	100	Warburg, Gabriel	n79095281	n79095281	1	Warburg, Gabriel			Person		http://example.org/1039069#Agent100-13	
Wingate, Francis Reginald, bart., 1861-1953	n50015888	86	Wingate, Francis Reginald, bart., 1861-1953				Wingate, Francis Reginald, bart., 1861-1953			Person		http://example.org/1039069#Agent600-21	
Owusu, Martin Okyere			Owusu, Martin Okyere				Owusu, Martin Okyere			Person		http://example.org/1003383#Agent100-11	
United States. Department of State	n80126198	100	United States. Department of State		n80126198		United States. Department of State	n80126198	1	Jurisdiction		http://example.org/1053534#Agent110-11	
United States. Dept. of State	n80126198		United States. Dept. of State		n80126198		United States. Dept. of State	n80126198	0.8235294118	Jurisdiction		http://example.org/1053534#Agent810-21	
McKinley, Albert E. (Albert Edward), 1870-1936	n87126391	100	McKinley, Albert E. (Albert Edward), 1870-1936	n87126391	n87126391	1	McKinley, Albert E. (Albert Edward), 1870-1936			Person		http://example.org/1042993#Agent100-11	
Pankhurst, E. Sylvia (Estelle Sylvia), 1882-1960	n50052783	100	Pankhurst, E. Sylvia (Estelle Sylvia), 1882-1960	n50052783	n50052783	1	Pankhurst, E. Sylvia (Estelle Sylvia), 1882-1960			Person		http://example.org/1047555#Agent100-11	
Raeburn, Antonia			Raeburn, Antonia				Raeburn, Antonia			Person		http://example.org/107943#Agent100-11	
Barnes, Arthur Chapman, 1891-			Barnes, Arthur Chapman, 1891-				Barnes, Arthur Chapman, 1891-			Person		http://example.org/1045760#Agent100-11	
Mathieson, William Law, 1868-1938	n86144410	100	Mathieson, William Law, 1868-1938	n86144410	n86144410	1	Mathieson, William Law, 1868-1938			Person		http://example.org/1032304#Agent100-11	
Eyre, Edward John, 1815-1901	n83164656	100	Eyre, Edward John, 1815-1901	n83164656	n83164656	1	Eyre, Edward John, 1815-1901			Person		http://example.org/1032304#Agent600-19	
Barrett, Ward J.	no00032927	100	Barrett, Ward J	no00032927	no00032927	0.9375	Barrett, Ward J			Person		http://example.org/1003557#Agent100-12	
Marquesado del Valle de Oaxaca			Marquesado del Valle de Oaxaca				Marquesado del Valle de Oaxaca			Person		http://example.org/1003557#Agent600-22	
Frank, Charles Raphael	n50025401	100	Frank, Charles Raphael	n50025401	n50025401	1	Frank, Charles Raphael			Person		http://example.org/1003570#Agent100-11	
East African Institute of Social Research (Makerere University College)	n50063158	100	East African Institute of Social Research (Makerere University College)		n50063158		East African Institute of Social Research (Makerere University College)	n50063158	1	Organization		http://example.org/1003570#Agent710-20	
Johnson, D. Gale (David Gale), 1916-2003	n50038955	100	Johnson, D. Gale (David Gale), 1916-2003	n50038955	n50038955	1	Johnson, D. Gale (David Gale), 1916-2003			Person		http://example.org/1040870#Agent100-14	
Haslip, Joan, 1912-	n50027443	100	Haslip, Joan, 1912-	n50027443	n50027443	1	Haslip, Joan, 1912-			Person		http://example.org/1034658#Agent100-11	
Abdülhamid II, Sultan of the Turks, 1842-1918	n50035365	99	Abdülhamid II, Sultan of the Turks, 1842-1918	n50035365	n50035365	1	Abdülhamid II, Sultan of the Turks, 1842-1918			Person		http://example.org/1034658#Agent600-21	
Buddhaghosa	n79090157	100	Buddhaghosa	n79090157	n79090157	0.9090909091	Buddhaghosa			Person		http://example.org/1098183#Agent100-12	
Davids, T. W. Rhys (Thomas William Rhys), 1843-1922	n50035648	100	Davids, T. W. Rhys (Thomas William Rhys), 1843-1922	n50035648	n50035648	0.9803921569	Davids, T. W. Rhys (Thomas William Rhys), 1843-1922			Person		http://example.org/1098183#Agent700-25	
Carpenter, J. Estlin (Joseph Estlin), 1844-1927	n79103937	100	Carpenter, J. Estlin (Joseph Estlin), 1844-1927	n79103937	n79103937	1	Carpenter, J. Estlin (Joseph Estlin), 1844-1927			Person		http://example.org/1098183#Agent700-26	
Pali Text Society	n50082483	100	Pali Text Society		n50082483		Pali Text Society	n50082483	0.9444444444	Organization		http://example.org/1098183#Agent710-27	
Gardam, Jane	n79119095	100	Gardam, Jane	n79119095	n79119095	0.9230769231	Gardam, Jane			Person		http://example.org/1067211#Agent100-12	
